StateYear,State,Year,Total energy consumption ranking,Renewable energy consumption ranking,Petroleum product consumption ranking,"Residential co2 emissions, metric tons/person","Total domestic water use per capita, gallons/person/day",Outcome,Average ranking
Oklahoma1994,Oklahoma,1994,7.0,8.0,8.0,21.0,26.0,R,14.0
Oklahoma1995,Oklahoma,1995,7.0,9.0,8.0,20.0,26.0,R,14.0
Oklahoma1996,Oklahoma,1996,7.0,9.0,11.0,21.0,26.0,R,14.8
Oklahoma1997,Oklahoma,1997,6.0,9.0,12.0,21.0,26.0,R,14.8
Oklahoma1998,Oklahoma,1998,6.0,9.0,16.0,20.0,26.0,R,15.4
Oklahoma1999,Oklahoma,1999,6.0,9.0,18.0,19.0,26.0,R,15.6
Oklahoma2000,Oklahoma,2000,6.0,8.0,16.0,20.0,32.5,R,16.5
Oklahoma2001,Oklahoma,2001,5.0,8.0,18.0,20.0,32.5,R,16.7
Oklahoma2002,Oklahoma,2002,5.0,7.0,22.0,22.0,32.5,R,17.7
Oklahoma2003,Oklahoma,2003,5.0,6.0,18.0,20.0,32.5,R,16.3
Oklahoma2004,Oklahoma,2004,5.0,7.0,15.0,18.0,32.5,D,15.5
Oklahoma2005,Oklahoma,2005,39.0,30.0,15.0,18.0,24.0,D,25.2
Oklahoma2006,Oklahoma,2006,40.0,23.0,17.0,19.0,24.0,D,24.6
Oklahoma2007,Oklahoma,2007,40.0,32.0,22.0,21.0,24.0,D,27.8
Oklahoma2008,Oklahoma,2008,41.0,33.0,15.0,21.0,24.0,D,26.8
Oklahoma2009,Oklahoma,2009,41.0,33.0,16.0,20.0,24.0,D,26.8
Oklahoma2010,Oklahoma,2010,41.0,32.0,17.0,21.0,29.0,D,28.0
Oklahoma2011,Oklahoma,2011,41.0,32.0,17.0,21.0,29.0,D,28.0
Oklahoma2012,Oklahoma,2012,41.0,35.0,17.0,18.0,29.0,R,28.0
Oklahoma2013,Oklahoma,2013,40.0,38.0,19.0,22.0,29.0,R,29.6
Oklahoma2014,Oklahoma,2014,42.0,37.0,17.0,23.0,29.0,R,29.6
Oregon1980,Oregon,1980,24.0,46.0,17.0,6.0,29.0,R,24.4
Oregon1981,Oregon,1981,25.0,47.0,26.0,9.0,29.0,R,27.2
Oregon1982,Oregon,1982,25.0,46.0,25.0,9.0,29.0,R,26.8
Oregon1983,Oregon,1983,24.0,46.0,20.0,8.0,29.0,R,25.4
Oregon1984,Oregon,1984,24.0,46.0,26.0,9.0,29.0,R,26.8
Oregon1985,Oregon,1985,21.0,46.0,27.0,12.0,39.5,R,29.1
Oregon1986,Oregon,1986,21.0,46.0,24.0,10.0,39.5,R,28.1
Oregon1987,Oregon,1987,22.0,47.0,15.0,5.0,39.5,R,25.7
Oregon1988,Oregon,1988,24.0,47.0,16.0,4.0,39.5,D,26.1
Oregon1989,Oregon,1989,23.0,45.0,19.0,8.0,39.5,D,26.9
Oregon1990,Oregon,1990,21.0,45.0,15.0,7.0,38.0,D,25.2
Oregon1991,Oregon,1991,21.0,46.0,16.0,8.0,38.0,D,25.8
Oregon1992,Oregon,1992,20.0,45.0,14.0,5.0,38.0,D,24.4
Oregon1993,Oregon,1993,20.0,44.0,18.0,9.0,38.0,D,25.8
Oregon1994,Oregon,1994,19.0,43.0,17.0,7.0,38.0,D,24.8
Oregon1995,Oregon,1995,18.0,43.0,14.0,7.0,38.0,D,24.0
Oregon1996,Oregon,1996,18.0,44.0,10.0,7.0,38.0,D,23.4
Oregon1997,Oregon,1997,18.0,44.0,11.0,7.0,38.0,D,23.6
Oregon1998,Oregon,1998,18.0,44.0,11.0,9.0,38.0,D,24.0
Oregon1999,Oregon,1999,17.0,44.0,9.0,12.0,38.0,D,24.0
Oregon2000,Oregon,2000,15.0,44.0,10.0,7.0,41.5,D,23.5
Oregon2001,Oregon,2001,13.0,44.0,10.0,7.0,41.5,D,23.1
Oregon2002,Oregon,2002,14.0,44.0,11.0,10.0,41.5,D,24.1
Oregon2003,Oregon,2003,13.0,45.0,11.0,9.0,41.5,D,23.9
Oregon2004,Oregon,2004,11.0,45.0,9.0,9.0,41.5,R,23.1
Oregon2005,Oregon,2005,11.0,44.0,12.0,9.0,40.0,R,23.2
Oregon2006,Oregon,2006,36.0,49.0,10.0,12.0,40.0,R,29.4
Oregon2007,Oregon,2007,36.0,49.0,10.0,11.0,40.0,R,29.2
Oregon2008,Oregon,2008,34.0,49.0,10.0,12.0,40.0,R,29.0
Oregon2009,Oregon,2009,34.0,48.0,11.0,13.0,40.0,R,29.2
Oregon2010,Oregon,2010,29.0,47.0,9.0,8.0,42.5,R,27.1
Oregon2011,Oregon,2011,32.0,48.0,10.0,13.0,42.5,R,29.1
Oregon2012,Oregon,2012,31.0,49.0,9.0,15.0,42.5,D,29.3
Oregon2013,Oregon,2013,29.0,49.0,12.0,12.0,42.5,D,28.9
Oregon2014,Oregon,2014,27.0,48.0,10.0,10.0,42.5,D,27.5
Pennsylvania1980,Pennsylvania,1980,42.0,39.0,40.0,47.0,42.5,R,42.1
Pennsylvania1981,Pennsylvania,1981,42.0,41.0,40.0,46.0,42.5,R,42.3
Pennsylvania1982,Pennsylvania,1982,42.0,39.0,37.0,41.0,42.5,R,40.3
Pennsylvania1983,Pennsylvania,1983,43.0,39.0,37.0,42.0,42.5,R,40.7
Pennsylvania1984,Pennsylvania,1984,43.0,38.0,41.0,44.0,42.5,R,41.7
Pennsylvania1985,Pennsylvania,1985,43.0,37.0,41.0,40.0,6.0,R,33.4
Pennsylvania1986,Pennsylvania,1986,42.0,35.0,39.0,41.0,6.0,R,32.6
Pennsylvania1987,Pennsylvania,1987,42.0,34.0,37.0,40.0,6.0,R,31.8
Pennsylvania1988,Pennsylvania,1988,42.0,35.0,38.0,41.0,6.0,R,32.4
Pennsylvania1989,Pennsylvania,1989,42.0,32.0,38.0,40.0,6.0,R,31.6
Pennsylvania1990,Pennsylvania,1990,42.0,31.0,38.0,40.0,3.0,R,30.8
Pennsylvania1991,Pennsylvania,1991,42.0,31.0,39.0,39.0,3.0,R,30.8
Pennsylvania1992,Pennsylvania,1992,42.0,34.0,39.0,41.0,3.0,D,31.8
Pennsylvania1993,Pennsylvania,1993,43.0,35.0,40.0,41.0,3.0,D,32.4
Pennsylvania1994,Pennsylvania,1994,43.0,34.0,41.0,40.0,3.0,D,32.2
Pennsylvania1995,Pennsylvania,1995,42.0,32.0,40.0,40.0,3.0,D,31.4
Pennsylvania1996,Pennsylvania,1996,43.0,36.0,38.0,37.0,3.0,D,31.4
Pennsylvania1997,Pennsylvania,1997,42.0,32.0,39.0,38.0,3.0,D,30.8
Pennsylvania1998,Pennsylvania,1998,42.0,34.0,40.0,40.0,3.0,D,31.8
Pennsylvania1999,Pennsylvania,1999,43.0,32.0,39.0,40.0,3.0,D,31.4
Pennsylvania2000,Pennsylvania,2000,43.0,34.0,39.0,41.0,5.0,D,32.4
Pennsylvania2001,Pennsylvania,2001,44.0,31.0,39.0,41.0,5.0,D,32.0
Pennsylvania2002,Pennsylvania,2002,43.0,30.0,40.0,40.0,5.0,D,31.6
Pennsylvania2003,Pennsylvania,2003,44.0,31.0,40.0,41.0,5.0,D,32.2
Pennsylvania2004,Pennsylvania,2004,44.0,33.0,42.0,42.0,5.0,R,33.2
Pennsylvania2005,Pennsylvania,2005,44.0,32.0,40.0,39.0,3.0,R,31.6
Pennsylvania2006,Pennsylvania,2006,43.0,32.0,41.0,38.0,3.0,R,31.4
Pennsylvania2007,Pennsylvania,2007,18.0,9.0,38.0,39.0,3.0,R,21.4
Pennsylvania2008,Pennsylvania,2008,19.0,10.0,43.0,41.0,3.0,R,23.2
Pennsylvania2009,Pennsylvania,2009,17.0,10.0,37.0,32.0,3.0,R,19.8
Pennsylvania2010,Pennsylvania,2010,18.0,12.0,39.0,37.0,4.0,R,22.0
Pennsylvania2011,Pennsylvania,2011,18.0,13.0,38.0,33.0,4.0,R,21.2
Pennsylvania2012,Pennsylvania,2012,19.0,11.0,39.0,35.0,4.0,D,21.6
Pennsylvania2013,Pennsylvania,2013,21.0,11.0,39.0,35.0,4.0,D,22.0
Pennsylvania2014,Pennsylvania,2014,22.0,11.0,41.0,37.0,4.0,D,23.0
Rhode Island1980,Rhode Island,1980,1.0,1.0,45.0,41.0,4.0,D,18.4
Rhode Island1981,Rhode Island,1981,1.0,1.0,44.0,35.0,4.0,D,17.0
Rhode Island1982,Rhode Island,1982,1.0,1.0,45.0,35.0,4.0,D,17.2
Rhode Island1983,Rhode Island,1983,1.0,1.0,46.0,43.0,4.0,D,19.0
Rhode Island1984,Rhode Island,1984,1.0,1.0,46.0,48.0,4.0,R,20.0
Rhode Island1985,Rhode Island,1985,1.0,1.0,47.0,49.0,9.0,R,21.4
Rhode Island1986,Rhode Island,1986,1.0,1.0,46.0,48.0,9.0,R,21.0
Rhode Island1987,Rhode Island,1987,1.0,1.0,46.0,50.0,9.0,R,21.4
Rhode Island1988,Rhode Island,1988,1.0,1.0,46.0,49.0,9.0,D,21.2
Rhode Island1989,Rhode Island,1989,1.0,1.0,45.0,44.0,9.0,D,20.0
Rhode Island1990,Rhode Island,1990,1.0,1.0,44.0,44.0,10.0,D,20.0
Rhode Island1991,Rhode Island,1991,1.0,1.0,45.0,43.0,10.0,D,20.0
Rhode Island1992,Rhode Island,1992,1.0,1.0,46.0,47.0,10.0,D,21.0
Rhode Island1993,Rhode Island,1993,1.0,1.0,45.0,46.0,10.0,D,20.6
Rhode Island1994,Rhode Island,1994,1.0,1.0,46.0,48.0,10.0,D,21.2
Rhode Island1995,Rhode Island,1995,1.0,1.0,46.0,47.0,6.0,D,20.2
Rhode Island1996,Rhode Island,1996,1.0,1.0,46.0,47.0,6.0,D,20.2
Rhode Island1997,Rhode Island,1997,1.0,1.0,46.0,48.0,6.0,D,20.4
Rhode Island1998,Rhode Island,1998,1.0,1.0,46.0,47.0,6.0,D,20.2
Rhode Island1999,Rhode Island,1999,1.0,1.0,45.0,44.0,6.0,D,19.4
Rhode Island2000,Rhode Island,2000,1.0,1.0,44.0,44.0,11.0,D,20.2
Rhode Island2001,Rhode Island,2001,1.0,1.0,44.0,46.0,11.0,D,20.6
Rhode Island2002,Rhode Island,2002,1.0,1.0,44.0,45.0,11.0,D,20.4
Rhode Island2003,Rhode Island,2003,1.0,1.0,46.0,47.0,11.0,D,21.2
Rhode Island2004,Rhode Island,2004,1.0,1.0,46.0,46.0,11.0,R,21.0
Rhode Island2005,Rhode Island,2005,1.0,1.0,46.0,46.0,14.5,R,21.7
Rhode Island2006,Rhode Island,2006,1.0,1.0,45.0,46.0,14.5,R,21.5
Rhode Island2007,Rhode Island,2007,1.0,1.0,46.0,46.0,14.5,R,21.7
Rhode Island2008,Rhode Island,2008,5.0,4.0,45.0,44.0,14.5,R,22.5
Rhode Island2009,Rhode Island,2009,5.0,3.0,46.0,47.0,14.5,R,23.1
Rhode Island2010,Rhode Island,2010,4.0,3.0,46.0,48.0,13.0,R,22.8
Rhode Island2011,Rhode Island,2011,4.0,3.0,46.0,45.0,13.0,R,22.2
Rhode Island2012,Rhode Island,2012,4.0,3.0,46.0,49.0,13.0,D,23.0
Rhode Island2013,Rhode Island,2013,5.0,2.0,46.0,49.0,13.0,D,23.0
Rhode Island2014,Rhode Island,2014,6.0,2.0,46.0,48.0,13.0,D,23.0
South Carolina1980,South Carolina,1980,41.0,44.0,27.0,8.0,13.0,R,26.6
South Carolina1981,South Carolina,1981,41.0,42.0,25.0,5.0,13.0,R,25.2
South Carolina1982,South Carolina,1982,41.0,43.0,22.0,3.0,13.0,R,24.4
South Carolina1983,South Carolina,1983,42.0,43.0,19.0,4.0,13.0,R,24.2
South Carolina1984,South Carolina,1984,42.0,43.0,29.0,8.0,13.0,R,27.0
South Carolina1985,South Carolina,1985,42.0,43.0,29.0,6.0,15.5,R,27.1
South Carolina1986,South Carolina,1986,43.0,44.0,27.0,8.0,15.5,R,27.5
South Carolina1987,South Carolina,1987,43.0,44.0,29.0,10.0,15.5,R,28.3
South Carolina1988,South Carolina,1988,43.0,43.0,28.0,8.0,15.5,R,27.5
South Carolina1989,South Carolina,1989,43.0,44.0,28.0,7.0,15.5,R,27.5
South Carolina1990,South Carolina,1990,43.0,43.0,26.0,4.0,20.0,R,27.2
South Carolina1991,South Carolina,1991,44.0,43.0,25.0,4.0,20.0,R,27.2
South Carolina1992,South Carolina,1992,44.0,44.0,23.0,4.0,20.0,R,27.0
South Carolina1993,South Carolina,1993,44.0,43.0,23.0,4.0,20.0,R,26.8
South Carolina1994,South Carolina,1994,44.0,44.0,22.0,4.0,20.0,R,26.8
South Carolina1995,South Carolina,1995,44.0,42.0,23.0,4.0,39.0,R,30.4
South Carolina1996,South Carolina,1996,45.0,43.0,20.0,4.0,39.0,R,30.2
South Carolina1997,South Carolina,1997,45.0,43.0,20.0,4.0,39.0,R,30.2
South Carolina1998,South Carolina,1998,46.0,43.0,20.0,4.0,39.0,R,30.4
South Carolina1999,South Carolina,1999,46.0,43.0,17.0,5.0,39.0,R,30.0
South Carolina2000,South Carolina,2000,47.0,43.0,15.0,4.0,17.5,R,25.3
South Carolina2001,South Carolina,2001,47.0,43.0,12.0,4.0,17.5,R,24.7
South Carolina2002,South Carolina,2002,47.0,42.0,12.0,4.0,17.5,R,24.5
South Carolina2003,South Carolina,2003,47.0,44.0,15.0,4.0,17.5,R,25.5
South Carolina2004,South Carolina,2004,47.0,44.0,17.0,6.0,17.5,D,26.3
South Carolina2005,South Carolina,2005,47.0,45.0,17.0,5.0,35.0,D,29.8
South Carolina2006,South Carolina,2006,47.0,44.0,14.0,4.0,35.0,D,28.8
South Carolina2007,South Carolina,2007,47.0,44.0,11.0,4.0,35.0,D,28.2
South Carolina2008,South Carolina,2008,47.0,44.0,12.0,4.0,35.0,D,28.4
South Carolina2009,South Carolina,2009,42.0,35.0,10.0,4.0,35.0,D,25.2
South Carolina2010,South Carolina,2010,42.0,35.0,11.0,4.0,39.5,D,26.3
South Carolina2011,South Carolina,2011,43.0,35.0,11.0,4.0,39.5,D,26.5
South Carolina2012,South Carolina,2012,43.0,37.0,10.0,3.0,39.5,R,26.5
South Carolina2013,South Carolina,2013,41.0,35.0,10.0,4.0,39.5,R,25.9
South Carolina2014,South Carolina,2014,41.0,34.0,12.0,4.0,39.5,R,26.1
South Dakota1980,South Dakota,1980,5.0,25.0,41.0,24.0,39.5,R,26.9
South Dakota1981,South Dakota,1981,5.0,25.0,41.0,25.0,39.5,R,27.1
South Dakota1982,South Dakota,1982,5.0,25.0,43.0,29.0,39.5,R,28.3
South Dakota1983,South Dakota,1983,5.0,25.0,42.0,25.0,39.5,R,27.3
South Dakota1984,South Dakota,1984,5.0,24.0,36.0,25.0,39.5,R,25.9
South Dakota1985,South Dakota,1985,5.0,22.0,39.0,25.0,34.0,R,25.0
South Dakota1986,South Dakota,1986,6.0,22.0,43.0,31.0,34.0,R,27.2
South Dakota1987,South Dakota,1987,5.0,23.0,43.0,32.0,34.0,R,27.4
South Dakota1988,South Dakota,1988,5.0,23.0,41.0,30.0,34.0,R,26.6
South Dakota1989,South Dakota,1989,5.0,20.0,44.0,35.0,34.0,R,27.6
South Dakota1990,South Dakota,1990,5.0,19.0,46.0,41.0,12.0,R,24.6
South Dakota1991,South Dakota,1991,5.0,18.0,41.0,30.0,12.0,R,21.2
South Dakota1992,South Dakota,1992,5.0,15.0,40.0,25.0,12.0,R,19.4
South Dakota1993,South Dakota,1993,5.0,12.0,43.0,29.0,12.0,R,20.2
South Dakota1994,South Dakota,1994,5.0,20.0,42.0,30.0,12.0,R,21.8
South Dakota1995,South Dakota,1995,5.0,21.0,42.0,29.0,21.0,R,23.6
South Dakota1996,South Dakota,1996,5.0,24.0,44.0,36.0,21.0,R,26.0
South Dakota1997,South Dakota,1997,4.0,25.0,42.0,32.0,21.0,R,24.8
South Dakota1998,South Dakota,1998,4.0,19.0,42.0,28.0,21.0,R,22.8
South Dakota1999,South Dakota,1999,4.0,22.0,41.0,28.0,21.0,R,23.2
South Dakota2000,South Dakota,2000,4.0,20.0,42.0,29.0,13.0,R,21.6
South Dakota2001,South Dakota,2001,4.0,18.0,41.0,25.0,13.0,R,20.2
South Dakota2002,South Dakota,2002,4.0,21.0,42.0,27.0,13.0,R,21.4
South Dakota2003,South Dakota,2003,4.0,19.0,41.0,26.0,13.0,R,20.6
South Dakota2004,South Dakota,2004,4.0,21.0,38.0,25.0,13.0,D,20.2
South Dakota2005,South Dakota,2005,4.0,19.0,38.0,25.0,22.5,D,21.7
South Dakota2006,South Dakota,2006,4.0,20.0,40.0,28.0,22.5,D,22.9
South Dakota2007,South Dakota,2007,4.0,20.0,40.0,26.0,22.5,D,22.5
South Dakota2008,South Dakota,2008,3.0,17.0,41.0,27.0,22.5,D,22.1
South Dakota2009,South Dakota,2009,3.0,22.0,41.0,28.0,22.5,D,23.3
South Dakota2010,South Dakota,2010,40.0,48.0,40.0,27.0,28.0,D,36.6
South Dakota2011,South Dakota,2011,42.0,49.0,40.0,26.0,28.0,D,37.0
South Dakota2012,South Dakota,2012,42.0,48.0,41.0,27.0,28.0,R,37.2
South Dakota2013,South Dakota,2013,42.0,48.0,41.0,26.0,28.0,R,37.0
South Dakota2014,South Dakota,2014,43.0,49.0,38.0,27.0,28.0,R,37.0
Tennessee1980,Tennessee,1980,48.0,48.0,8.0,4.0,28.0,R,27.2
Tennessee1981,Tennessee,1981,49.0,48.0,8.0,4.0,28.0,R,27.4
Tennessee1982,Tennessee,1982,49.0,49.0,8.0,6.0,28.0,R,28.0
Tennessee1983,Tennessee,1983,49.0,49.0,8.0,5.0,28.0,R,27.8
Tennessee1984,Tennessee,1984,49.0,49.0,9.0,4.0,28.0,R,27.8
Tennessee1985,Tennessee,1985,49.0,49.0,8.0,4.0,12.5,R,24.5
Tennessee1986,Tennessee,1986,49.0,49.0,8.0,4.0,12.5,R,24.5
Tennessee1987,Tennessee,1987,49.0,49.0,8.0,4.0,12.5,R,24.5
Tennessee1988,Tennessee,1988,49.0,49.0,11.0,6.0,12.5,R,25.5
Tennessee1989,Tennessee,1989,49.0,49.0,11.0,6.0,12.5,R,25.5
Tennessee1990,Tennessee,1990,49.0,49.0,10.0,5.0,17.5,R,26.1
Tennessee1991,Tennessee,1991,49.0,49.0,10.0,5.0,17.5,R,26.1
Tennessee1992,Tennessee,1992,49.0,49.0,13.0,9.0,17.5,D,27.5
Tennessee1993,Tennessee,1993,49.0,49.0,12.0,8.0,17.5,D,27.1
Tennessee1994,Tennessee,1994,49.0,49.0,14.0,9.0,17.5,D,27.7
Tennessee1995,Tennessee,1995,49.0,49.0,12.0,11.0,12.5,D,26.7
Tennessee1996,Tennessee,1996,49.0,49.0,18.0,13.0,12.5,D,28.3
Tennessee1997,Tennessee,1997,49.0,48.0,15.0,10.0,12.5,D,26.9
Tennessee1998,Tennessee,1998,49.0,49.0,18.0,10.0,12.5,D,27.7
Tennessee1999,Tennessee,1999,49.0,48.0,15.0,9.0,12.5,D,26.7
Tennessee2000,Tennessee,2000,49.0,49.0,13.0,10.0,4.0,R,25.0
Tennessee2001,Tennessee,2001,49.0,49.0,11.0,9.0,4.0,R,24.4
Tennessee2002,Tennessee,2002,49.0,49.0,13.0,11.0,4.0,R,25.2
Tennessee2003,Tennessee,2003,49.0,49.0,13.0,10.0,4.0,R,25.0
Tennessee2004,Tennessee,2004,49.0,49.0,13.0,10.0,4.0,D,25.0
Tennessee2005,Tennessee,2005,49.0,49.0,13.0,10.0,17.0,D,27.6
Tennessee2006,Tennessee,2006,49.0,48.0,13.0,10.0,17.0,D,27.4
Tennessee2007,Tennessee,2007,49.0,48.0,13.0,10.0,17.0,D,27.4
Tennessee2008,Tennessee,2008,49.0,48.0,11.0,10.0,17.0,D,27.0
Tennessee2009,Tennessee,2009,49.0,49.0,12.0,10.0,17.0,D,27.4
Tennessee2010,Tennessee,2010,49.0,49.0,12.0,11.0,20.0,D,28.2
Tennessee2011,Tennessee,2011,40.0,36.0,13.0,10.0,20.0,D,23.8
Tennessee2012,Tennessee,2012,39.0,34.0,8.0,10.0,20.0,R,22.2
Tennessee2013,Tennessee,2013,38.0,37.0,9.0,10.0,20.0,R,22.8
Tennessee2014,Tennessee,2014,39.0,33.0,13.0,13.0,20.0,R,23.6
Texas1980,Texas,1980,45.0,19.0,6.0,11.0,20.0,R,20.2
Texas1981,Texas,1981,45.0,21.0,7.0,11.0,20.0,R,20.8
Texas1982,Texas,1982,45.0,24.0,6.0,12.0,20.0,R,21.4
Texas1983,Texas,1983,45.0,21.0,6.0,10.0,20.0,R,20.4
Texas1984,Texas,1984,46.0,25.0,5.0,11.0,20.0,R,21.4
Texas1985,Texas,1985,46.0,26.0,7.0,11.0,41.0,R,26.2
Texas1986,Texas,1986,46.0,28.0,6.0,9.0,41.0,R,26.0
Texas1987,Texas,1987,46.0,30.0,7.0,9.0,41.0,R,26.6
Texas1988,Texas,1988,46.0,28.0,7.0,9.0,41.0,R,26.2
Texas1989,Texas,1989,46.0,26.0,7.0,12.0,41.0,R,26.4
Texas1990,Texas,1990,46.0,27.0,7.0,10.0,43.0,R,26.6
Texas1991,Texas,1991,47.0,28.0,5.0,10.0,43.0,R,26.6
Texas1992,Texas,1992,47.0,30.0,3.0,7.0,43.0,R,26.0
Texas1993,Texas,1993,47.0,27.0,6.0,5.0,43.0,R,25.6
Texas1994,Texas,1994,47.0,25.0,5.0,5.0,43.0,R,25.0
Texas1995,Texas,1995,47.0,26.0,5.0,5.0,44.0,R,25.4
Texas1996,Texas,1996,48.0,21.0,2.0,5.0,44.0,R,24.0
Texas1997,Texas,1997,48.0,22.0,6.0,5.0,44.0,R,25.0
Texas1998,Texas,1998,48.0,23.0,7.0,5.0,44.0,R,25.4
Texas1999,Texas,1999,48.0,21.0,7.0,4.0,44.0,R,24.8
Texas2000,Texas,2000,48.0,23.0,8.0,5.0,41.5,R,25.1
Texas2001,Texas,2001,48.0,24.0,13.0,5.0,41.5,R,26.3
Texas2002,Texas,2002,48.0,27.0,9.0,5.0,41.5,R,26.1
Texas2003,Texas,2003,48.0,25.0,9.0,5.0,41.5,R,25.7
Texas2004,Texas,2004,48.0,26.0,8.0,4.0,41.5,D,25.5
Texas2005,Texas,2005,48.0,25.0,9.0,4.0,41.0,D,25.4
Texas2006,Texas,2006,48.0,33.0,6.0,5.0,41.0,D,26.6
Texas2007,Texas,2007,48.0,35.0,8.0,7.0,41.0,D,27.8
Texas2008,Texas,2008,48.0,39.0,7.0,5.0,41.0,D,28.0
Texas2009,Texas,2009,48.0,38.0,5.0,5.0,41.0,D,27.4
Texas2010,Texas,2010,48.0,39.0,6.0,5.0,36.5,D,26.9
Texas2011,Texas,2011,49.0,41.0,4.0,5.0,36.5,D,27.1
Texas2012,Texas,2012,49.0,36.0,4.0,7.0,36.5,R,26.5
Texas2013,Texas,2013,49.0,32.0,6.0,6.0,36.5,R,25.9
Texas2014,Texas,2014,49.0,35.0,7.0,6.0,36.5,R,26.7
Utah1980,Utah,1980,4.0,3.0,5.0,45.0,36.5,R,18.7
Utah1981,Utah,1981,4.0,2.0,5.0,44.0,36.5,R,18.3
Utah1982,Utah,1982,4.0,3.0,7.0,25.0,36.5,R,15.1
Utah1983,Utah,1983,4.0,3.0,7.0,45.0,36.5,R,19.1
Utah1984,Utah,1984,3.0,3.0,7.0,39.0,36.5,R,17.7
Utah1985,Utah,1985,3.0,2.0,5.0,39.0,46.0,R,19.0
Utah1986,Utah,1986,3.0,3.0,5.0,35.0,46.0,R,18.4
Utah1987,Utah,1987,3.0,2.0,5.0,29.0,46.0,R,17.0
Utah1988,Utah,1988,3.0,2.0,6.0,26.0,46.0,R,16.6
Utah1989,Utah,1989,3.0,2.0,6.0,28.0,46.0,R,17.0
Utah1990,Utah,1990,3.0,2.0,6.0,30.0,47.0,R,17.6
Utah1991,Utah,1991,3.0,2.0,7.0,32.0,47.0,R,18.2
Utah1992,Utah,1992,3.0,2.0,4.0,26.0,47.0,R,16.4
Utah1993,Utah,1993,3.0,2.0,3.0,27.0,47.0,R,16.4
Utah1994,Utah,1994,3.0,2.0,2.0,25.0,47.0,R,15.8
Utah1995,Utah,1995,3.0,2.0,2.0,24.0,48.0,R,15.8
Utah1996,Utah,1996,3.0,2.0,4.0,23.0,48.0,R,16.0
Utah1997,Utah,1997,3.0,2.0,8.0,27.0,48.0,R,17.6
Utah1998,Utah,1998,3.0,2.0,2.0,29.0,48.0,R,16.8
Utah1999,Utah,1999,3.0,2.0,2.0,27.0,48.0,R,16.4
Utah2000,Utah,2000,3.0,2.0,5.0,25.0,50.0,R,17.0
Utah2001,Utah,2001,3.0,2.0,6.0,24.0,50.0,R,17.0
Utah2002,Utah,2002,3.0,2.0,6.0,26.0,50.0,R,17.4
Utah2003,Utah,2003,3.0,2.0,6.0,24.0,50.0,R,17.0
Utah2004,Utah,2004,3.0,2.0,6.0,29.0,50.0,D,18.0
Utah2005,Utah,2005,3.0,2.0,6.0,26.0,49.0,D,17.2
Utah2006,Utah,2006,3.0,2.0,8.0,31.0,49.0,D,18.6
Utah2007,Utah,2007,3.0,2.0,6.0,27.0,49.0,D,17.4
Utah2008,Utah,2008,2.0,1.0,6.0,26.0,49.0,D,16.8
Utah2009,Utah,2009,2.0,1.0,7.0,27.0,49.0,D,17.2
Utah2010,Utah,2010,2.0,1.0,3.0,28.0,49.0,D,16.6
Utah2011,Utah,2011,2.0,1.0,5.0,29.0,49.0,D,17.2
Utah2012,Utah,2012,2.0,1.0,5.0,31.0,49.0,R,17.6
Utah2013,Utah,2013,44.0,20.0,7.0,28.0,49.0,R,29.6
Utah2014,Utah,2014,44.0,23.0,6.0,26.0,49.0,R,29.6
Virginia1980,Virginia,1980,40.0,41.0,32.0,18.0,8.0,R,27.8
Virginia1981,Virginia,1981,40.0,40.0,31.0,15.0,8.0,R,26.8
Virginia1982,Virginia,1982,40.0,40.0,29.0,15.0,8.0,R,26.4
Virginia1983,Virginia,1983,41.0,40.0,30.0,16.0,8.0,R,27.0
Virginia1984,Virginia,1984,41.0,40.0,35.0,20.0,8.0,R,28.8
Virginia1985,Virginia,1985,41.0,41.0,35.0,19.0,18.0,R,30.8
Virginia1986,Virginia,1986,41.0,40.0,36.0,21.0,18.0,R,31.2
Virginia1987,Virginia,1987,41.0,41.0,34.0,21.0,18.0,R,31.0
Virginia1988,Virginia,1988,41.0,41.0,35.0,21.0,18.0,R,31.2
Virginia1989,Virginia,1989,41.0,41.0,34.0,19.0,18.0,R,30.6
Virginia1990,Virginia,1990,40.0,40.0,35.0,17.0,17.5,R,29.9
Virginia1991,Virginia,1991,40.0,41.0,33.0,16.0,17.5,R,29.5
Virginia1992,Virginia,1992,40.0,41.0,33.0,18.0,17.5,R,29.9
Virginia1993,Virginia,1993,40.0,41.0,31.0,17.0,17.5,R,29.3
Virginia1994,Virginia,1994,40.0,41.0,32.0,18.0,17.5,R,29.7
Virginia1995,Virginia,1995,40.0,40.0,32.0,18.0,22.5,R,30.5
Virginia1996,Virginia,1996,41.0,41.0,31.0,19.0,22.5,R,30.9
Virginia1997,Virginia,1997,41.0,40.0,32.0,18.0,22.5,R,30.7
Virginia1998,Virginia,1998,41.0,41.0,34.0,17.0,22.5,R,31.1
Virginia1999,Virginia,1999,42.0,41.0,31.0,17.0,22.5,R,30.7
Virginia2000,Virginia,2000,42.0,40.0,33.0,18.0,17.5,R,30.1
Virginia2001,Virginia,2001,43.0,41.0,30.0,18.0,17.5,R,29.9
Virginia2002,Virginia,2002,42.0,36.0,27.0,18.0,17.5,R,28.1
Virginia2003,Virginia,2003,43.0,41.0,31.0,19.0,17.5,R,30.3
Virginia2004,Virginia,2004,43.0,41.0,33.0,19.0,17.5,D,30.7
