StateYear,State,Year,Population,Alignment,Outcome,"Total domestic water use per capita, gallons/person/day","Residential co2 emissions, million metric tons","Residential co2 emissions, metric tons/person","Renewable energy total consumption, billion btu","Renewable energy total consumption, billion btu/person","Total energy consumption per capita in the residential sector, Million Btu/person","All petroleum products consumed by the residential sector, thousand barrels","All petroleum products consumed by the residential sector, thousand barrels/person"
Missouri1990,Missouri,1990,5128880.0,0.21350046519535842,R,145.0,7.5,1.4623075603250613,43149.0,0.008412947856062142,76.0,4378.0,0.0008535976665470824
Missouri1991,Missouri,1991,5170800.0,0.21350046519535842,R,,8.0,1.5471493772723757,32516.0,0.0062883886439235705,82.0,5619.0,0.0010866790438616848
Missouri1992,Missouri,1992,5217101.0,-0.2020035648150189,D,,7.7,1.4759154557291492,37086.0,0.007108545531320939,76.0,5581.0,0.001069751189405764
Missouri1993,Missouri,1993,5271175.0,-0.2020035648150189,D,,8.8,1.6694569996253208,52644.0,0.009987147078213111,86.0,5957.0,0.0011301085621327313
Missouri1994,Missouri,1994,5324497.0,-0.2020035648150189,D,,8.0,1.5024893431248059,38883.0,0.007302661641090229,81.0,5764.0,0.0010825435717214226
Missouri1995,Missouri,1995,5378247.0,-0.2020035648150189,D,145.0,8.3,1.5432537776714237,38250.0,0.00711198277059421,84.0,5952.0,0.0011066802993614834
Missouri1996,Missouri,1996,5431553.0,-0.18888428410806266,D,,9.3,1.7122174818141331,31818.0,0.005857993100684095,89.0,7747.0,0.0014262955732918376
Missouri1997,Missouri,1997,5481193.0,-0.18888428410806266,D,,8.6,1.5690014929231648,31332.0,0.0057162738111940226,85.0,7067.0,0.0012893178547079076
Missouri1998,Missouri,1998,5521765.0,-0.18888428410806266,D,,7.3,1.3220410502801188,38053.0,0.006891455902234159,84.0,5136.0,0.0009301373745532452
Missouri1999,Missouri,1999,5561948.0,-0.18888428410806266,D,,7.8,1.4023863581608458,33906.0,0.006096065623051492,84.0,6791.0,0.0012209750972141415
Missouri2000,Missouri,2000,5607285.0,0.21221036562257847,R,65.0,7.7,1.3732135962413181,23293.0,0.004154060298344029,87.0,5996.0,0.0010693232107873954
Missouri2001,Missouri,2001,5641142.0,0.21221036562257847,R,,8.5,1.5067871009097094,33105.0,0.00586849258536658,88.0,8926.0,0.0015823037250258902
Missouri2002,Missouri,2002,5674825.0,0.21221036562257847,R,,7.8,1.3744917244144093,37799.0,0.006660822139889776,88.0,6714.0,0.0011831201843228647
Missouri2003,Missouri,2003,5709403.0,0.21221036562257847,R,,7.8,1.3661673558513912,34629.0,0.006065257610997157,87.0,6435.0,0.0011270880685773977
Missouri2004,Missouri,2004,5747741.0,-0.2532669791488517,D,,7.3,1.2700641869562321,44026.0,0.007659704917114393,85.0,5325.0,0.0009264509308961555
Missouri2005,Missouri,2005,5790300.0,-0.2532669791488517,D,161.0,7.0,1.2089183634699412,54310.0,0.009379479474293214,91.0,4802.0,0.0008293179973403797
Missouri2006,Missouri,2006,5842704.0,-0.2532669791488517,D,,6.3,1.0782678704928403,42577.0,0.007287208114598994,86.0,4239.0,0.0007255202385744682
Missouri2007,Missouri,2007,5887612.0,-0.2532669791488517,D,,6.7,1.13798259803805,60849.0,0.010335090016121986,91.0,4764.0,0.0008091565816497418
Missouri2008,Missouri,2008,5923916.0,-0.24406389287086447,D,,7.6,1.2829351395259487,83037.0,0.014017248050107395,93.0,6030.0,0.00101790774886072
Missouri2009,Missouri,2009,5961088.0,-0.24406389287086447,D,,6.9,1.1575068175474008,90818.0,0.015235138283481137,88.0,5181.0,0.0008691366408279831
Missouri2010,Missouri,2010,5996118.0,-0.24406389287086447,D,161.0,6.9,1.1507445317120177,93682.0,0.015623775249252934,93.0,4966.0,0.000828202513693026
Missouri2011,Missouri,2011,6010717.0,-0.24406389287086447,D,,6.5,1.0814017695393079,89470.0,0.014885079433951058,89.0,4313.0,0.0007175516664650823
Missouri2012,Missouri,2012,6025415.0,0.2460311862336453,R,,5.3,0.8796074627224847,81721.0,0.013562717256819654,81.0,3420.0,0.0005675957589643203
Missouri2013,Missouri,2013,6042711.0,0.2460311862336453,R,,6.7,1.1087738599446506,94340.0,0.015612197902563933,89.0,4043.0,0.000669070554590481
Missouri2014,Missouri,2014,6060930.0,0.2460311862336453,R,,7.2,1.1879365047938188,94505.0,0.015592491581324978,92.0,4241.0,0.0006997275995598035
Missouri2015,Missouri,2015,6076204.0,0.2460311862336453,R,,,,95915.0,0.01578534887900406,83.0,3558.0,0.0005855629600322834
Missouri2016,Missouri,2016,6093000.0,0.26169555227310026,R,,,,,,,,
Montana1970,Montana,1970,694409.0,0.26169555227310026,R,,,,98397.0,0.14169891231248444,73.0,1106.0,0.001592721292494769
Montana1971,Montana,1971,711000.0,0.26169555227310026,R,,,,107251.0,0.15084528832630098,75.0,1270.0,0.0017862165963431786
Montana1972,Montana,1972,719000.0,0.26169555227310026,R,,,,104348.0,0.14512934631432545,75.0,1492.0,0.0020751043115438106
Montana1973,Montana,1973,727000.0,0.26169555227310026,R,,,,84637.0,0.11641953232462174,76.0,1426.0,0.0019614855570839066
Montana1974,Montana,1974,737000.0,0.26169555227310026,R,,,,106573.0,0.14460379918588873,72.0,1532.0,0.002078697421981004
Montana1975,Montana,1975,749000.0,0.26169555227310026,R,,,,112007.0,0.14954205607476637,80.0,1528.0,0.002040053404539386
Montana1976,Montana,1976,758000.0,0.26169555227310026,R,,,,135822.0,0.17918469656992084,80.0,1604.0,0.0021160949868073878
Montana1977,Montana,1977,771000.0,0.26169555227310026,R,,,,97331.0,0.12623994811932554,79.0,1574.0,0.002041504539559014
Montana1978,Montana,1978,784000.0,0.26169555227310026,R,,,,132188.0,0.16860714285714284,88.0,1888.0,0.0024081632653061226
Montana1979,Montana,1979,789000.0,0.26169555227310026,R,,,,119406.0,0.15133840304182508,87.0,1259.0,0.0015956907477820026
Montana1980,Montana,1980,786690.0,0.26289135491743887,R,,1.4,1.7796082319592215,114608.0,0.14568381446313033,78.0,1220.0,0.00155080145927875
Montana1981,Montana,1981,795328.0,0.26289135491743887,R,,1.2,1.5088114589200934,130992.0,0.1647018588557174,72.0,759.0,0.000954323247766959
Montana1982,Montana,1982,803986.0,0.26289135491743887,R,,1.4,1.7413238538979534,126686.0,0.1575723955392258,81.0,1062.0,0.001320918523456876
Montana1983,Montana,1983,814031.0,0.26289135491743887,R,,1.3,1.5969907779924843,135671.0,0.1666656429546295,77.0,1333.0,0.0016375297746646013
Montana1984,Montana,1984,820905.0,0.2831630943897284,R,,1.2,1.4618013046576643,130479.0,0.1589453103586895,78.0,799.0,0.0009733160353512282
Montana1985,Montana,1985,822320.0,0.2831630943897284,R,225.0,1.3,1.580893082984726,120845.0,0.14695617277945325,83.0,901.0,0.0010956805136686449
Montana1986,Montana,1986,813739.0,0.2831630943897284,R,,1.2,1.4746743120337111,133794.0,0.16441881242019862,74.0,957.0,0.0011760527638468845
Montana1987,Montana,1987,805063.0,0.2831630943897284,R,,1.1,1.3663526953791194,111016.0,0.13789728257291664,69.0,905.0,0.001124135626652821
Montana1988,Montana,1988,800202.0,0.23795491638361313,R,,1.2,1.4996213456102334,103727.0,0.12962601943009391,74.0,904.0,0.0011297147470263758
Montana1989,Montana,1989,799636.0,0.23795491638361313,R,,1.3,1.6257397115687637,110781.0,0.13853928537484556,81.0,1147.0,0.0014344026532072092
Montana1990,Montana,1990,800204.0,0.23795491638361313,R,207.0,1.3,1.624585730638687,123371.0,0.15417443551894267,77.0,1077.0,0.0013459067937675892
Montana1991,Montana,1991,809680.0,0.23795491638361313,R,,1.3,1.605572571880249,142264.0,0.17570398181997826,79.0,966.0,0.0011930639264894772
Montana1992,Montana,1992,825770.0,-0.18710657931385252,D,,1.1,1.3320900492873318,95817.0,0.11603352022960388,71.0,757.0,0.0009167201521004638
Montana1993,Montana,1993,844761.0,-0.18710657931385252,D,,1.3,1.5388968003967987,109033.0,0.12906964218281858,79.0,770.0,0.0009115004125427192
Montana1994,Montana,1994,861306.0,-0.18710657931385252,D,,1.2,1.393233066993612,94371.0,0.10956733147104514,74.0,687.0,0.0007976259308538428
Montana1995,Montana,1995,876553.0,-0.18710657931385252,D,197.0,1.3,1.4830820269852478,127489.0,0.14544357272178637,76.0,674.0,0.0007689209893754286
Montana1996,Montana,1996,886254.0,0.20270938128346952,R,,1.5,1.6925170436466295,158531.0,0.17887761296422922,81.0,827.0,0.0009331410633971751
