StateYear,State,Year,Population,Alignment,Outcome,"Total domestic water use per capita, gallons/person/day","Residential co2 emissions, million metric tons","Residential co2 emissions, million metric tons/person","Residential co2 emissions, metric tons/person"
Iowa2010,Iowa,2010,3050738,0.274780607,R,130,4.4,1.44E-06,1.442273968
Iowa2011,Iowa,2011,3065223,0.274780607,R,,4.4,1.44E-06,1.435458366
Iowa2012,Iowa,2012,3076310,-0.267380075,D,,3.6,1.17E-06,1.170233169
Iowa2013,Iowa,2013,3091930,-0.267380075,D,,4.7,1.52E-06,1.52008616
Iowa2014,Iowa,2014,3108030,-0.267380075,D,,4.9,1.58E-06,1.576561359
Iowa2015,Iowa,2015,3121997,-0.267380075,D,,,,
Iowa2016,Iowa,2016,3134693,0.255521992,R,,,,
Kansas1970,Kansas,1970,2249071,0.255521992,R,,,,
Kansas1971,Kansas,1971,2246000,0.255521992,R,,,,
Kansas1972,Kansas,1972,2255000,0.255521992,R,,,,
Kansas1973,Kansas,1973,2264000,0.255521992,R,,,,
Kansas1974,Kansas,1974,2268000,0.255521992,R,,,,
Kansas1975,Kansas,1975,2279000,0.255521992,R,,,,
Kansas1976,Kansas,1976,2299000,0.255521992,R,,,,
Kansas1977,Kansas,1977,2318000,0.255521992,R,,,,
Kansas1978,Kansas,1978,2333000,0.255521992,R,,,,
Kansas1979,Kansas,1979,2347000,0.255521992,R,,,,
Kansas1980,Kansas,1980,2363679,0.239800751,R,,5.1,2.16E-06,2.157653387
Kansas1981,Kansas,1981,2384849,0.239800751,R,,4.4,1.84E-06,1.844980542
Kansas1982,Kansas,1982,2401202,0.239800751,R,,4.9,2.04E-06,2.040644644
Kansas1983,Kansas,1983,2415531,0.239800751,R,,4.8,1.99E-06,1.987140716
Kansas1984,Kansas,1984,2424086,0.279402628,R,,4.5,1.86E-06,1.856369782
Kansas1985,Kansas,1985,2427405,0.279402628,R,168,4.6,1.90E-06,1.895027818
Kansas1986,Kansas,1986,2432619,0.279402628,R,,4,1.64E-06,1.644318325
Kansas1987,Kansas,1987,2445367,0.279402628,R,,4.2,1.72E-06,1.717533605
Kansas1988,Kansas,1988,2461996,0.223009704,R,,4.4,1.79E-06,1.78716781
Kansas1989,Kansas,1989,2472849,0.223009704,R,,4.4,1.78E-06,1.779324172
Kansas1990,Kansas,1990,2481349,0.223009704,R,186,4.1,1.65E-06,1.652327021
Kansas1991,Kansas,1991,2498722,0.223009704,R,,4.4,1.76E-06,1.760900172
Kansas1992,Kansas,1992,2532394,0.177487784,R,,4,1.58E-06,1.579533043
Kansas1993,Kansas,1993,2556547,0.177487784,R,,4.7,1.84E-06,1.838417209
Kansas1994,Kansas,1994,2580513,0.177487784,R,,4.2,1.63E-06,1.627583353
Kansas1995,Kansas,1995,2601007,0.177487784,R,182,4.4,1.69E-06,1.691652502
Kansas1996,Kansas,1996,2614554,0.223076288,R,,5,1.91E-06,1.912372053
Kansas1997,Kansas,1997,2635292,0.223076288,R,,4.3,1.63E-06,1.63169774
Kansas1998,Kansas,1998,2660598,0.223076288,R,,4.3,1.62E-06,1.616178017
Kansas1999,Kansas,1999,2678338,0.223076288,R,,4.6,1.72E-06,1.717483006
Kansas2000,Kansas,2000,2693681,0.231034039,R,112,4.4,1.63E-06,1.633452513
Kansas2001,Kansas,2001,2702162,0.231034039,R,,4.2,1.55E-06,1.554310955
Kansas2002,Kansas,2002,2713535,0.231034039,R,,4.4,1.62E-06,1.621501105
Kansas2003,Kansas,2003,2723004,0.231034039,R,,4.4,1.62E-06,1.615862481
Kansas2004,Kansas,2004,2734373,-0.269332677,D,,4.1,1.50E-06,1.499429668
Kansas2005,Kansas,2005,2745299,-0.269332677,D,180,4,1.46E-06,1.457036192
Kansas2006,Kansas,2006,2762931,-0.269332677,D,,3.5,1.27E-06,1.266770687
Kansas2007,Kansas,2007,2783785,-0.269332677,D,,3.9,1.40E-06,1.400970262
Kansas2008,Kansas,2008,2808076,-0.249158142,D,,4.5,1.60E-06,1.602520729
Kansas2009,Kansas,2009,2832704,-0.249158142,D,,4.5,1.59E-06,1.588588148
Kansas2010,Kansas,2010,2858850,-0.249158142,D,171,4.2,1.47E-06,1.469122199
Kansas2011,Kansas,2011,2869503,-0.249158142,D,,4.1,1.43E-06,1.428818858
Kansas2012,Kansas,2012,2885262,0.240059308,R,,3.2,1.11E-06,1.109084721
Kansas2013,Kansas,2013,2892821,0.240059308,R,,4.2,1.45E-06,1.451869991
Kansas2014,Kansas,2014,2899360,0.240059308,R,,4.4,1.52E-06,1.517576293
Kansas2015,Kansas,2015,2906721,0.240059308,R,,,,
Kansas2016,Kansas,2016,2907289,0.2308054,R,,,,
Kentucky1970,Kentucky,1970,3220711,0.2308054,R,,,,
Kentucky1971,Kentucky,1971,3298000,0.2308054,R,,,,
Kentucky1972,Kentucky,1972,3336000,0.2308054,R,,,,
Kentucky1973,Kentucky,1973,3372000,0.2308054,R,,,,
Kentucky1974,Kentucky,1974,3417000,0.2308054,R,,,,
Kentucky1975,Kentucky,1975,3469000,0.2308054,R,,,,
Kentucky1976,Kentucky,1976,3530000,0.2308054,R,,,,
Kentucky1977,Kentucky,1977,3575000,0.2308054,R,,,,
Kentucky1978,Kentucky,1978,3611000,0.2308054,R,,,,
Kentucky1979,Kentucky,1979,3644000,0.2308054,R,,,,
Kentucky1980,Kentucky,1980,3660777,0.17353529,R,,5.7,1.56E-06,1.557046496
Kentucky1981,Kentucky,1981,3670394,0.17353529,R,,4.9,1.34E-06,1.335006542
Kentucky1982,Kentucky,1982,3683445,0.17353529,R,,4.7,1.28E-06,1.275979416
Kentucky1983,Kentucky,1983,3694484,0.17353529,R,,4.6,1.25E-06,1.245099451
Kentucky1984,Kentucky,1984,3695453,0.222354878,R,,4.7,1.27E-06,1.27183325
Kentucky1985,Kentucky,1985,3694826,0.222354878,R,115,4.5,1.22E-06,1.217919328
Kentucky1986,Kentucky,1986,3687809,0.222354878,R,,4.4,1.19E-06,1.19312036
Kentucky1987,Kentucky,1987,3683329,0.222354878,R,,4.5,1.22E-06,1.221720894
Kentucky1988,Kentucky,1988,3679999,0.199532935,R,,4.9,1.33E-06,1.331522101
Kentucky1989,Kentucky,1989,3677306,0.199532935,R,,4.8,1.31E-06,1.305303393
Kentucky1990,Kentucky,1990,3694048,0.199532935,R,120,4.1,1.11E-06,1.109893537
Kentucky1991,Kentucky,1991,3722328,0.199532935,R,,4.4,1.18E-06,1.182055961
Kentucky1992,Kentucky,1992,3765469,-0.176632446,D,,4.5,1.20E-06,1.195070256
Kentucky1993,Kentucky,1993,3812206,-0.176632446,D,,4.9,1.29E-06,1.285345021
Kentucky1994,Kentucky,1994,3849088,-0.176632446,D,,4.7,1.22E-06,1.221068471
Kentucky1995,Kentucky,1995,3887427,-0.176632446,D,120,4.9,1.26E-06,1.26047383
Kentucky1996,Kentucky,1996,3919535,-0.162420797,D,,5.1,1.30E-06,1.301174757
Kentucky1997,Kentucky,1997,3952747,-0.162420797,D,,5,1.26E-06,1.264943089
Kentucky1998,Kentucky,1998,3985390,-0.162420797,D,,4.2,1.05E-06,1.053849184
Kentucky1999,Kentucky,1999,4018053,-0.162420797,D,,4.6,1.14E-06,1.144833082
Kentucky2000,Kentucky,2000,4049021,0.215489127,R,50,4.6,1.14E-06,1.136077091
Kentucky2001,Kentucky,2001,4068132,0.215489127,R,,3.9,9.59E-07,0.958670958
Kentucky2002,Kentucky,2002,4089875,0.215489127,R,,4,9.78E-07,0.978025001
Kentucky2003,Kentucky,2003,4117170,0.215489127,R,,4.3,1.04E-06,1.044406716
Kentucky2004,Kentucky,2004,4146101,-0.257938482,D,,4,9.65E-07,0.964761833
Kentucky2005,Kentucky,2005,4182742,-0.257938482,D,120,3.9,9.32E-07,0.932402716
Kentucky2006,Kentucky,2006,4219239,-0.257938482,D,,3.3,7.82E-07,0.782131564
Kentucky2007,Kentucky,2007,4256672,-0.257938482,D,,3.5,8.22E-07,0.822238594
Kentucky2008,Kentucky,2008,4289878,-0.244403687,D,,3.7,8.62E-07,0.86249539
Kentucky2009,Kentucky,2009,4317074,-0.244403687,D,,3.6,8.34E-07,0.833898145
Kentucky2010,Kentucky,2010,4348662,-0.244403687,D,120,3.7,8.51E-07,0.850836418
Kentucky2011,Kentucky,2011,4369354,-0.244403687,D,,3.5,8.01E-07,0.801033745
Kentucky2012,Kentucky,2012,4384799,0.247945231,R,,2.8,6.39E-07,0.63856975
Kentucky2013,Kentucky,2013,4400477,0.247945231,R,,3.4,7.73E-07,0.772643511
Kentucky2014,Kentucky,2014,4413057,0.247945231,R,,3.7,8.38E-07,0.838421076
Kentucky2015,Kentucky,2015,4424611,0.247945231,R,,,,
Kentucky2016,Kentucky,2016,4436974,0.271124194,R,,,,
Louisiana1970,Louisiana,1970,3644637,0.271124194,R,,,,
Louisiana1971,Louisiana,1971,3711000,0.271124194,R,,,,
Louisiana1972,Louisiana,1972,3762000,0.271124194,R,,,,
Louisiana1973,Louisiana,1973,3789000,0.271124194,R,,,,
Louisiana1974,Louisiana,1974,3821000,0.271124194,R,,,,
Louisiana1975,Louisiana,1975,3887000,0.271124194,R,,,,
Louisiana1976,Louisiana,1976,3952000,0.271124194,R,,,,
Louisiana1977,Louisiana,1977,4016000,0.271124194,R,,,,
Louisiana1978,Louisiana,1978,4073000,0.271124194,R,,,,
Louisiana1979,Louisiana,1979,4139000,0.271124194,R,,,,
Louisiana1980,Louisiana,1980,4205900,0.188509713,R,,4.3,1.02E-06,1.022373333
Louisiana1981,Louisiana,1981,4283303,0.188509713,R,,4.7,1.10E-06,1.097284035
Louisiana1982,Louisiana,1982,4352608,0.188509713,R,,4,9.19E-07,0.918989259
Louisiana1983,Louisiana,1983,4395316,0.188509713,R,,4,9.10E-07,0.910059709
Louisiana1984,Louisiana,1984,4400477,0.235724218,R,,4,9.09E-07,0.908992366
Louisiana1985,Louisiana,1985,4408118,0.235724218,R,225,3.6,8.17E-07,0.816675053
Louisiana1986,Louisiana,1986,4406919,0.235724218,R,,3.4,7.72E-07,0.771514067
Louisiana1987,Louisiana,1987,4344148,0.235724218,R,,3.6,8.29E-07,0.828701048
Louisiana1988,Louisiana,1988,4288863,0.206045752,R,,3.5,8.16E-07,0.816067102
Louisiana1989,Louisiana,1989,4252894,0.206045752,R,,3.4,7.99E-07,0.799455618
Louisiana1990,Louisiana,1990,4221532,0.206045752,R,207,3.1,7.34E-07,0.73433057
Louisiana1991,Louisiana,1991,4253279,0.206045752,R,,3.2,7.52E-07,0.752360708
Louisiana1992,Louisiana,1992,4293003,-0.190069981,D,,3.3,7.69E-07,0.768692684
Louisiana1993,Louisiana,1993,4316428,-0.190069981,D,,3.3,7.65E-07,0.764521035
Louisiana1994,Louisiana,1994,4347481,-0.190069981,D,,3.1,7.13E-07,0.713056595
Louisiana1995,Louisiana,1995,4378779,-0.190069981,D,201,3,6.85E-07,0.685122496
Louisiana1996,Louisiana,1996,4398877,-0.210925879,D,,3.3,7.50E-07,0.750191469
Louisiana1997,Louisiana,1997,4421071,-0.210925879,D,,3.4,7.69E-07,0.769044424
Louisiana1998,Louisiana,1998,4440344,-0.210925879,D,,3,6.76E-07,0.67562333
Louisiana1999,Louisiana,1999,4460811,-0.210925879,D,,2.9,6.50E-07,0.650106001
Louisiana2000,Louisiana,2000,4471885,0.207489906,R,79,3.3,7.38E-07,0.737943842
Louisiana2001,Louisiana,2001,4477875,0.207489906,R,,3.1,6.92E-07,0.692292661
Louisiana2002,Louisiana,2002,4497267,0.207489906,R,,2.9,6.45E-07,0.644836075
Louisiana2003,Louisiana,2003,4521042,0.207489906,R,,2.8,6.19E-07,0.619326253
Louisiana2004,Louisiana,2004,4552238,-0.242115856,D,,2.5,5.49E-07,0.549180425
Louisiana2005,Louisiana,2005,4576628,-0.242115856,D,202,2.5,5.46E-07,0.546253705
Louisiana2006,Louisiana,2006,4302665,-0.242115856,D,,2.1,4.88E-07,0.488069603
Louisiana2007,Louisiana,2007,4375581,-0.242115856,D,,2.2,5.03E-07,0.502790372
Louisiana2008,Louisiana,2008,4435586,-0.258877857,D,,2.2,4.96E-07,0.49598858
Louisiana2009,Louisiana,2009,4491648,-0.258877857,D,,2.2,4.90E-07,0.489797954
Louisiana2010,Louisiana,2010,4544996,-0.258877857,D,188,2.6,5.72E-07,0.572057709
Louisiana2011,Louisiana,2011,4575404,-0.258877857,D,,2.3,5.03E-07,0.50268785
Louisiana2012,Louisiana,2012,4603429,0.250305153,R,,1.8,3.91E-07,0.391012873
Louisiana2013,Louisiana,2013,4626402,0.250305153,R,,2.2,4.76E-07,0.475531525
Louisiana2014,Louisiana,2014,4647880,0.250305153,R,,2.5,5.38E-07,0.537879635
Louisiana2015,Louisiana,2015,4668960,0.250305153,R,,,,
Louisiana2016,Louisiana,2016,4681666,0.251756106,R,,,,
Maine1970,Maine,1970,993722,0.251756106,R,,,,
Maine1971,Maine,1971,1016000,0.251756106,R,,,,
Maine1972,Maine,1972,1035000,0.251756106,R,,,,
Maine1973,Maine,1973,1046000,0.251756106,R,,,,
Maine1974,Maine,1974,1060000,0.251756106,R,,,,
Maine1975,Maine,1975,1073000,0.251756106,R,,,,
Maine1976,Maine,1976,1090000,0.251756106,R,,,,
Maine1977,Maine,1977,1105000,0.251756106,R,,,,
Maine1978,Maine,1978,1115000,0.251756106,R,,,,
Maine1979,Maine,1979,1125000,0.251756106,R,,,,
Maine1980,Maine,1980,1124660,0.212083652,R,,3,2.67E-06,2.667472836
Maine1981,Maine,1981,1133033,0.212083652,R,,2.4,2.12E-06,2.118208384
Maine1982,Maine,1982,1136684,0.212083652,R,,2.3,2.02E-06,2.023429555
Maine1983,Maine,1983,1144772,0.212083652,R,,1.6,1.40E-06,1.397658224
Maine1984,Maine,1984,1155635,0.291181904,R,,2.1,1.82E-06,1.817182761
Maine1985,Maine,1985,1162936,0.291181904,R,173,2.8,2.41E-06,2.407699134
Maine1986,Maine,1986,1170126,0.291181904,R,,3.1,2.65E-06,2.649287342
Maine1987,Maine,1987,1184574,0.291181904,R,,3.1,2.62E-06,2.616974541
Maine1988,Maine,1988,1203840,0.255126096,R,,3.4,2.82E-06,2.824295587
Maine1989,Maine,1989,1219961,0.255126096,R,,3.2,2.62E-06,2.623034671
Maine1990,Maine,1990,1231719,0.255126096,R,148,3,2.44E-06,2.435620462
Maine1991,Maine,1991,1237081,0.255126096,R,,3,2.43E-06,2.425063516
Maine1992,Maine,1992,1238508,-0.2126914,D,,3,2.42E-06,2.422269376
Maine1993,Maine,1993,1242302,-0.2126914,D,,3.1,2.50E-06,2.495367471
Maine1994,Maine,1994,1242662,-0.2126914,D,,3.2,2.58E-06,2.575116967
Maine1995,Maine,1995,1243480,-0.2126914,D,130,3.9,3.14E-06,3.13635925
Maine1996,Maine,1996,1249060,-0.250418715,D,,4,3.20E-06,3.202408211
Maine1997,Maine,1997,1254774,-0.250418715,D,,3.9,3.11E-06,3.108129432
Maine1998,Maine,1998,1259127,-0.250418715,D,,4.2,3.34E-06,3.335644458
Maine1999,Maine,1999,1266808,-0.250418715,D,,4,3.16E-06,3.157542422
Maine2000,Maine,2000,1277072,-0.250534817,D,65,3.9,3.05E-06,3.053860706
Maine2001,Maine,2001,1285692,-0.250534817,D,,3.8,2.96E-06,2.955606786
Maine2002,Maine,2002,1295960,-0.250534817,D,,3.5,2.70E-06,2.700700639
Maine2003,Maine,2003,1306513,-0.250534817,D,,4.7,3.60E-06,3.597361833
Maine2004,Maine,2004,1313688,0.302082382,R,,5.1,3.88E-06,3.88220034
Maine2005,Maine,2005,1318787,0.302082382,R,110,4.6,3.49E-06,3.488053795
Maine2006,Maine,2006,1323619,0.302082382,R,,4,3.02E-06,3.022017665
Maine2007,Maine,2007,1327040,0.302082382,R,,3.8,2.86E-06,2.863515795
Maine2008,Maine,2008,1330509,0.317113977,R,,3.1,2.33E-06,2.329935386
Maine2009,Maine,2009,1329590,0.317113977,R,,2.9,2.18E-06,2.181123504
Maine2010,Maine,2010,1327730,0.317113977,R,110,2.6,1.96E-06,1.958229459
Maine2011,Maine,2011,1328231,0.317113977,R,,2.7,2.03E-06,2.032778937
Maine2012,Maine,2012,1328895,-0.301984732,D,,2.2,1.66E-06,1.655510782
Maine2013,Maine,2013,1329076,-0.301984732,D,,2.4,1.81E-06,1.80576581
Maine2014,Maine,2014,1330719,-0.301984732,D,,2.5,1.88E-06,1.878683629
Maine2015,Maine,2015,1329453,-0.301984732,D,,,,
Maine2016,Maine,2016,1331479,-0.26867491,D,,,,
Maryland1970,Maryland,1970,3923897,-0.26867491,D,,,,
Maryland1971,Maryland,1971,4022000,-0.26867491,D,,,,
Maryland1972,Maryland,1972,4081000,-0.26867491,D,,,,
Maryland1973,Maryland,1973,4109000,-0.26867491,D,,,,
Maryland1974,Maryland,1974,4133000,-0.26867491,D,,,,
Maryland1975,Maryland,1975,4157000,-0.26867491,D,,,,
Maryland1976,Maryland,1976,4172000,-0.26867491,D,,,,
Maryland1977,Maryland,1977,4195000,-0.26867491,D,,,,
Maryland1978,Maryland,1978,4212000,-0.26867491,D,,,,
Maryland1979,Maryland,1979,4223000,-0.26867491,D,,,,
Maryland1980,Maryland,1980,4216975,-0.172199503,D,,7.9,1.87E-06,1.8733808
Maryland1981,Maryland,1981,4261905,-0.172199503,D,,7.1,1.67E-06,1.665921695
Maryland1982,Maryland,1982,4282923,-0.172199503,D,,6.7,1.56E-06,1.564352196
Maryland1983,Maryland,1983,4313327,-0.172199503,D,,6.5,1.51E-06,1.50695739
Maryland1984,Maryland,1984,4365243,0.201573658,R,,7.7,1.76E-06,1.763933875
Maryland1985,Maryland,1985,4413071,0.201573658,R,177,6.8,1.54E-06,1.54087709
Maryland1986,Maryland,1986,4486957,0.201573658,R,,6.8,1.52E-06,1.515503714
Maryland1987,Maryland,1987,4565557,0.201573658,R,,7.3,1.60E-06,1.598928674
Maryland1988,Maryland,1988,4657904,0.188103276,R,,7.7,1.65E-06,1.653104057
Maryland1989,Maryland,1989,4727301,0.188103276,R,,7.1,1.50E-06,1.501914094
Maryland1990,Maryland,1990,4799770,0.188103276,R,188,6.2,1.29E-06,1.291728562
Maryland1991,Maryland,1991,4867641,0.188103276,R,,6.2,1.27E-06,1.273717597
Maryland1992,Maryland,1992,4923368,-0.200791613,D,,6.7,1.36E-06,1.360857039
Maryland1993,Maryland,1993,4971889,-0.200791613,D,,7,1.41E-06,1.407915583
Maryland1994,Maryland,1994,5023060,-0.200791613,D,,7,1.39E-06,1.393572842
Maryland1995,Maryland,1995,5070033,-0.200791613,D,187,6.9,1.36E-06,1.360937887
Maryland1996,Maryland,1996,5111986,-0.189008147,D,,7.7,1.51E-06,1.506263906
Maryland1997,Maryland,1997,5157328,-0.189008147,D,,7,1.36E-06,1.357291993
Maryland1998,Maryland,1998,5204464,-0.189008147,D,,6.2,1.19E-06,1.19128502
Maryland1999,Maryland,1999,5254509,-0.189008147,D,,6.6,1.26E-06,1.256064078
Maryland2000,Maryland,2000,5311034,-0.205862738,D,83,7.2,1.36E-06,1.355668218
Maryland2001,Maryland,2001,5374691,-0.205862738,D,,6.5,1.21E-06,1.20937185
Maryland2002,Maryland,2002,5440389,-0.205862738,D,,6.7,1.23E-06,1.231529584
Maryland2003,Maryland,2003,5496269,-0.205862738,D,,7.4,1.35E-06,1.346367872
Maryland2004,Maryland,2004,5546935,-0.240582051,D,,7.1,1.28E-06,1.279986155
Maryland2005,Maryland,2005,5592379,-0.240582051,D,195,7.2,1.29E-06,1.28746639
Maryland2006,Maryland,2006,5627367,-0.240582051,D,,5.9,1.05E-06,1.048447702
Maryland2007,Maryland,2007,5653408,-0.240582051,D,,6.5,1.15E-06,1.149748966
Maryland2008,Maryland,2008,5684965,0.286627446,R,,6.3,1.11E-06,1.108186242
Maryland2009,Maryland,2009,5730388,0.286627446,R,,6.5,1.13E-06,1.134303646
Maryland2010,Maryland,2010,5788584,0.286627446,R,188,6.6,1.14E-06,1.140175214
Maryland2011,Maryland,2011,5843603,0.286627446,R,,5.9,1.01E-06,1.009651066
Maryland2012,Maryland,2012,5889651,-0.284880038,D,,5.2,8.83E-07,0.882904607
Maryland2013,Maryland,2013,5931129,-0.284880038,D,,6.2,1.05E-06,1.045332179
Maryland2014,Maryland,2014,5967295,-0.284880038,D,,6.9,1.16E-06,1.156302814
Maryland2015,Maryland,2015,5994983,-0.284880038,D,,,,
Maryland2016,Maryland,2016,6016447,-0.278890182,D,,,,
Massachusetts1970,Massachusetts,1970,5689170,-0.278890182,D,,,,
Massachusetts1971,Massachusetts,1971,5739000,-0.278890182,D,,,,
Massachusetts1972,Massachusetts,1972,5762000,-0.278890182,D,,,,
Massachusetts1973,Massachusetts,1973,5784000,-0.278890182,D,,,,
Massachusetts1974,Massachusetts,1974,5777000,-0.278890182,D,,,,
Massachusetts1975,Massachusetts,1975,5762000,-0.278890182,D,,,,
Massachusetts1976,Massachusetts,1976,5749000,-0.278890182,D,,,,
Massachusetts1977,Massachusetts,1977,5744000,-0.278890182,D,,,,
Massachusetts1978,Massachusetts,1978,5743000,-0.278890182,D,,,,
Massachusetts1979,Massachusetts,1979,5746000,-0.278890182,D,,,,
Massachusetts1980,Massachusetts,1980,5737037,0.184351434,R,,14.7,2.56E-06,2.562298273
Massachusetts1981,Massachusetts,1981,5768685,0.184351434,R,,12.8,2.22E-06,2.218876572
Massachusetts1982,Massachusetts,1982,5771222,0.184351434,R,,12.9,2.24E-06,2.235228518
Massachusetts1983,Massachusetts,1983,5799407,0.184351434,R,,12.5,2.16E-06,2.155392784
Massachusetts1984,Massachusetts,1984,5840773,0.224445634,R,,14.4,2.47E-06,2.465427093
Massachusetts1985,Massachusetts,1985,5880733,0.224445634,R,148,14.3,2.43E-06,2.431669658
Massachusetts1986,Massachusetts,1986,5902678,0.224445634,R,,14.8,2.51E-06,2.5073365
Massachusetts1987,Massachusetts,1987,5935204,0.224445634,R,,15.3,2.58E-06,2.577838942
Massachusetts1988,Massachusetts,1988,5979982,-0.23435104,D,,15.4,2.58E-06,2.575258588
Massachusetts1989,Massachusetts,1989,6015478,-0.23435104,D,,16.3,2.71E-06,2.709676604
Massachusetts1990,Massachusetts,1990,6022639,-0.23435104,D,138,15,2.49E-06,2.490602542
Massachusetts1991,Massachusetts,1991,6018470,-0.23435104,D,,14.2,2.36E-06,2.359403636
Massachusetts1992,Massachusetts,1992,6028709,-0.218726596,D,,16.3,2.70E-06,2.70372977
Massachusetts1993,Massachusetts,1993,6060569,-0.218726596,D,,16.4,2.71E-06,2.706016547
Massachusetts1994,Massachusetts,1994,6095241,-0.218726596,D,,16.2,2.66E-06,2.657811233
Massachusetts1995,Massachusetts,1995,6141445,-0.218726596,D,133,14.6,2.38E-06,2.377290686
Massachusetts1996,Massachusetts,1996,6179756,-0.254340624,D,,14.5,2.35E-06,2.346370957
Massachusetts1997,Massachusetts,1997,6226058,-0.254340624,D,,14.3,2.30E-06,2.296798392
Massachusetts1998,Massachusetts,1998,6271838,-0.254340624,D,,13.1,2.09E-06,2.088701908
Massachusetts1999,Massachusetts,1999,6317345,-0.254340624,D,,13.9,2.20E-06,2.20029142
Massachusetts2000,Massachusetts,2000,6361104,-0.254120511,D,72,15.5,2.44E-06,2.436683947
Massachusetts2001,Massachusetts,2001,6397634,-0.254120511,D,,15.8,2.47E-06,2.469663004
Massachusetts2002,Massachusetts,2002,6417206,-0.254120511,D,,15.7,2.45E-06,2.44654761
Massachusetts2003,Massachusetts,2003,6422565,-0.254120511,D,,16.2,2.52E-06,2.522356722
Massachusetts2004,Massachusetts,2004,6412281,0.281303954,R,,14.8,2.31E-06,2.308071028
Massachusetts2005,Massachusetts,2005,6403290,0.281303954,R,155,14.8,2.31E-06,2.311311841
Massachusetts2006,Massachusetts,2006,6410084,0.281303954,R,,12.7,1.98E-06,1.981253288
Massachusetts2007,Massachusetts,2007,6431559,0.281303954,R,,13.4,2.08E-06,2.083476184
Massachusetts2008,Massachusetts,2008,6468967,0.29434344,R,,14.3,2.21E-06,2.210553864
Massachusetts2009,Massachusetts,2009,6517613,0.29434344,R,,13.8,2.12E-06,2.117339584
Massachusetts2010,Massachusetts,2010,6565524,0.29434344,R,135,13.5,2.06E-06,2.056195362
Massachusetts2011,Massachusetts,2011,6611923,0.29434344,R,,13.6,2.06E-06,2.056890257
Massachusetts2012,Massachusetts,2012,6658008,-0.288568292,D,,11.8,1.77E-06,1.772301866
Massachusetts2013,Massachusetts,2013,6706786,-0.288568292,D,,12.3,1.83E-06,1.833963392
Massachusetts2014,Massachusetts,2014,6749911,-0.288568292,D,,13.6,2.01E-06,2.014841381
Massachusetts2015,Massachusetts,2015,6784240,-0.288568292,D,,,,
Massachusetts2016,Massachusetts,2016,6811779,-0.292903807,D,,,,
Michigan1970,Michigan,1970,8881826,-0.292903807,D,,,,
Michigan1971,Michigan,1971,8972000,-0.292903807,D,,,,
Michigan1972,Michigan,1972,9025000,-0.292903807,D,,,,
Michigan1973,Michigan,1973,9072000,-0.292903807,D,,,,
Michigan1974,Michigan,1974,9109000,-0.292903807,D,,,,
Michigan1975,Michigan,1975,9108000,-0.292903807,D,,,,
Michigan1976,Michigan,1976,9117000,-0.292903807,D,,,,
Michigan1977,Michigan,1977,9157000,-0.292903807,D,,,,
Michigan1978,Michigan,1978,9202000,-0.292903807,D,,,,
Michigan1979,Michigan,1979,9249000,-0.292903807,D,,,,
Michigan1980,Michigan,1980,9262078,0.206781351,R,,25.9,2.80E-06,2.796348724
Michigan1981,Michigan,1981,9209287,0.206781351,R,,23.9,2.60E-06,2.595206339
Michigan1982,Michigan,1982,9115198,0.206781351,R,,23.4,2.57E-06,2.567141164
Michigan1983,Michigan,1983,9047754,0.206781351,R,,22.1,2.44E-06,2.442595146
Michigan1984,Michigan,1984,9049452,0.248807442,R,,22.3,2.46E-06,2.464237614
Michigan1985,Michigan,1985,9076293,0.248807442,R,160,22.5,2.48E-06,2.478985639
Michigan1986,Michigan,1986,9127775,0.248807442,R,,22.3,2.44E-06,2.443092649
Michigan1987,Michigan,1987,9187481,0.248807442,R,,21.4,2.33E-06,2.329256518
Michigan1988,Michigan,1988,9217998,0.213222546,R,,23.7,2.57E-06,2.571057186
Michigan1989,Michigan,1989,9253295,0.213222546,R,,24.5,2.65E-06,2.647705493
Michigan1990,Michigan,1990,9311319,0.213222546,R,150,21.7,2.33E-06,2.330496893
Michigan1991,Michigan,1991,9400446,0.213222546,R,,22.2,2.36E-06,2.361590078
Michigan1992,Michigan,1992,9479065,-0.197401537,D,,23.2,2.45E-06,2.447498778
Michigan1993,Michigan,1993,9540114,-0.197401537,D,,24.1,2.53E-06,2.526175264
Michigan1994,Michigan,1994,9597737,-0.197401537,D,,23.5,2.45E-06,2.448493848
Michigan1995,Michigan,1995,9676211,-0.197401537,D,163,24.4,2.52E-06,2.521648195
Michigan1996,Michigan,1996,9758645,-0.203886195,D,,26,2.66E-06,2.664304317
Michigan1997,Michigan,1997,9809051,-0.203886195,D,,24.8,2.53E-06,2.5282772
Michigan1998,Michigan,1998,9847942,-0.203886195,D,,21,2.13E-06,2.132425232
Michigan1999,Michigan,1999,9897116,-0.203886195,D,,23.2,2.34E-06,2.344117216
Michigan2000,Michigan,2000,9952450,-0.218078765,D,86,24.2,2.43E-06,2.431562078
Michigan2001,Michigan,2001,9991120,-0.218078765,D,,23.5,2.35E-06,2.352088655
Michigan2002,Michigan,2002,10015710,-0.218078765,D,,24.8,2.48E-06,2.476110031
Michigan2003,Michigan,2003,10041152,-0.218078765,D,,25.9,2.58E-06,2.579385314
Michigan2004,Michigan,2004,10055315,0.246554484,R,,24,2.39E-06,2.38679743
Michigan2005,Michigan,2005,10051137,0.246554484,R,163,23.9,2.38E-06,2.377840437
