StateYear,Residential CO2 emissions per capita,Total domestic water use per capita,Total energy consumption per capita,Renewable energy consumption per capita,Petroleum product consumption per capita,Outcome,Average ranking
Utah1981,44.0,47.0,4.0,2.0,5.0,R,20.0
Massachusetts1981,45.0,14.0,23.0,23.0,46.0,R,30.0
Pennsylvania1981,46.0,6.0,42.0,41.0,40.0,R,35.0
Illinois1981,47.0,21.5,47.0,44.0,10.0,R,34.0
Connecticut1981,48.0,11.0,21.0,20.0,47.0,R,29.0
New Jersey1981,49.0,15.5,43.0,37.0,45.0,R,38.0
Michigan1981,50.0,21.5,46.0,45.0,29.0,R,38.0
Hawaii1982,1.0,50.0,21.0,23.0,2.0,D,19.0
Florida1982,2.0,46.0,27.0,19.0,5.0,R,20.0
South Carolina1982,3.0,15.5,41.0,43.0,22.0,R,25.0
Idaho1982,4.0,49.0,36.0,47.0,10.0,R,29.0
Arizona1982,5.0,1.0,26.0,35.0,4.0,R,14.0
Tennessee1982,6.0,13.0,49.0,49.0,8.0,R,25.0
Washington1982,7.0,44.0,50.0,50.0,24.0,R,35.0
Mississippi1982,8.0,7.0,12.0,14.0,15.0,R,11.0
Oregon1982,9.0,40.5,25.0,46.0,25.0,R,29.0
North Carolina1982,10.0,17.0,44.0,45.0,33.0,R,30.0
Alabama1982,11.0,27.0,34.0,42.0,13.0,R,25.0
Texas1982,12.0,42.0,45.0,24.0,6.0,R,26.0
Louisiana1982,13.0,37.5,38.0,22.0,3.0,R,23.0
Georgia1982,14.0,30.5,32.0,31.0,9.0,D,23.0
Virginia1982,15.0,18.0,40.0,40.0,29.0,R,28.0
Arkansas1982,16.0,29.0,33.0,34.0,16.0,R,26.0
California1982,17.0,34.0,23.0,32.0,1.0,R,21.0
Nevada1982,18.0,48.0,15.0,17.0,11.0,R,22.0
Kentucky1982,19.0,5.0,35.0,30.0,18.0,R,21.0
New Mexico1982,20.0,45.0,6.0,2.0,23.0,R,19.0
Oklahoma1982,21.0,4.0,10.0,5.0,14.0,R,11.0
West Virginia1982,22.0,2.0,14.0,10.0,17.0,D,13.0
Vermont1982,23.0,21.5,2.0,7.0,47.0,R,20.0
Maryland1982,24.0,28.0,16.0,15.0,34.0,D,23.0
Utah1982,25.0,47.0,4.0,3.0,7.0,R,17.0
Colorado1982,26.0,39.0,28.0,18.0,21.0,R,26.0
North Dakota1982,27.0,21.5,3.0,6.0,35.0,R,18.0
Delaware1982,28.0,24.0,29.0,9.0,41.0,R,26.0
South Dakota1982,29.0,35.0,5.0,25.0,43.0,R,27.0
Montana1982,30.0,37.5,8.0,37.0,30.0,R,28.0
Missouri1982,31.0,12.0,22.0,16.0,27.0,R,22.0
New Hampshire1982,32.0,19.0,9.0,27.0,49.0,R,27.0
New York1982,33.0,32.0,48.0,48.0,36.0,R,39.0
Wyoming1982,34.0,43.0,18.0,13.0,32.0,R,28.0
Rhode Island1982,35.0,10.0,1.0,1.0,45.0,D,18.0
Ohio1982,36.0,9.0,19.0,12.0,19.0,R,19.0
Nebraska1982,37.0,33.0,37.0,33.0,28.0,R,34.0
Maine1982,38.0,26.0,7.0,28.0,50.0,R,30.0
Kansas1982,39.0,25.0,13.0,4.0,20.0,R,20.0
Indiana1982,40.0,30.5,17.0,8.0,31.0,R,25.0
Pennsylvania1982,41.0,6.0,42.0,39.0,37.0,R,33.0
Wisconsin1982,42.0,3.0,30.0,38.0,39.0,R,30.0
New Jersey1982,43.0,15.5,43.0,36.0,44.0,R,36.0
Minnesota1982,44.0,40.5,11.0,11.0,40.0,D,29.0
Massachusetts1982,45.0,14.0,24.0,21.0,46.0,R,30.0
Iowa1982,46.0,36.0,31.0,29.0,38.0,R,36.0
Connecticut1982,47.0,11.0,20.0,20.0,48.0,R,29.0
Illinois1982,48.0,21.5,47.0,41.0,12.0,R,34.0
Michigan1982,49.0,21.5,46.0,44.0,26.0,R,37.0
Alaska1982,50.0,8.0,39.0,26.0,42.0,R,33.0
Hawaii1983,1.0,50.0,21.0,24.0,2.0,D,20.0
Florida1983,2.0,46.0,27.0,17.0,5.0,R,19.0
Arizona1983,3.0,1.0,26.0,41.0,4.0,R,15.0
South Carolina1983,4.0,15.5,42.0,43.0,19.0,R,25.0
Tennessee1983,5.0,13.0,49.0,49.0,8.0,R,25.0
Washington1983,6.0,44.0,50.0,50.0,16.0,R,33.0
Idaho1983,7.0,49.0,37.0,47.0,22.0,R,32.0
Oregon1983,8.0,40.5,24.0,46.0,20.0,R,28.0
Mississippi1983,9.0,7.0,13.0,13.0,18.0,R,12.0
Texas1983,10.0,42.0,45.0,21.0,6.0,R,25.0
North Carolina1983,11.0,17.0,46.0,45.0,31.0,R,30.0
Alabama1983,12.0,27.0,35.0,42.0,13.0,R,26.0
Louisiana1983,13.0,37.5,38.0,22.0,3.0,R,23.0
Nevada1983,14.0,48.0,15.0,31.0,14.0,R,24.0
Georgia1983,15.0,30.5,34.0,32.0,10.0,D,24.0
Virginia1983,16.0,18.0,41.0,40.0,30.0,R,29.0
California1983,17.0,34.0,22.0,34.0,1.0,R,22.0
Kentucky1983,18.0,5.0,36.0,28.0,21.0,R,22.0
Arkansas1983,19.0,29.0,33.0,35.0,27.0,R,29.0
New Mexico1983,20.0,45.0,6.0,2.0,25.0,R,20.0
West Virginia1983,21.0,2.0,14.0,9.0,9.0,D,11.0
Maine1983,22.0,26.0,7.0,29.0,48.0,R,26.0
Maryland1983,23.0,28.0,17.0,14.0,34.0,D,23.0
Oklahoma1983,24.0,4.0,9.0,6.0,15.0,R,12.0
South Dakota1983,25.0,35.0,5.0,25.0,42.0,R,26.0
Montana1983,26.0,37.5,8.0,36.0,33.0,R,28.0
North Dakota1983,27.0,21.5,3.0,5.0,39.0,R,19.0
Colorado1983,28.0,39.0,28.0,19.0,23.0,R,27.0
Missouri1983,29.0,12.0,23.0,16.0,28.0,R,22.0
New Hampshire1983,30.0,19.0,10.0,27.0,49.0,R,27.0
New York1983,31.0,32.0,48.0,48.0,36.0,R,39.0
Ohio1983,32.0,9.0,19.0,12.0,12.0,R,17.0
Minnesota1983,33.0,40.5,11.0,11.0,32.0,D,26.0
Indiana1983,34.0,30.5,18.0,10.0,26.0,R,24.0
Delaware1983,35.0,24.0,32.0,7.0,47.0,R,29.0
Connecticut1983,36.0,11.0,20.0,20.0,44.0,R,26.0
Nebraska1983,37.0,33.0,39.0,33.0,29.0,R,34.0
Wisconsin1983,38.0,3.0,30.0,38.0,35.0,R,29.0
Kansas1983,39.0,25.0,12.0,4.0,17.0,R,19.0
New Jersey1983,40.0,15.5,44.0,37.0,41.0,R,36.0
Iowa1983,41.0,36.0,31.0,30.0,38.0,R,35.0
Pennsylvania1983,42.0,6.0,43.0,39.0,37.0,R,33.0
Rhode Island1983,43.0,10.0,1.0,1.0,46.0,D,20.0
Vermont1983,44.0,21.5,2.0,8.0,50.0,R,25.0
Utah1983,45.0,47.0,4.0,3.0,7.0,R,21.0
Massachusetts1983,46.0,14.0,25.0,23.0,45.0,R,31.0
Wyoming1983,47.0,43.0,16.0,15.0,40.0,R,32.0
Illinois1983,48.0,21.5,29.0,18.0,11.0,R,26.0
Michigan1983,49.0,21.5,47.0,44.0,24.0,R,37.0
Alaska1983,50.0,8.0,40.0,26.0,43.0,R,33.0
Hawaii1984,1.0,50.0,21.0,22.0,1.0,R,19.0
Florida1984,2.0,46.0,26.0,18.0,6.0,R,20.0
Arizona1984,3.0,1.0,25.0,41.0,4.0,R,15.0
Tennessee1984,4.0,13.0,49.0,49.0,9.0,R,25.0
Idaho1984,5.0,49.0,36.0,47.0,18.0,R,31.0
Washington1984,6.0,44.0,50.0,50.0,25.0,R,35.0
Mississippi1984,7.0,7.0,12.0,12.0,15.0,R,11.0
South Carolina1984,8.0,15.5,42.0,43.0,29.0,R,28.0
Oregon1984,9.0,40.5,24.0,46.0,26.0,R,29.0
Alabama1984,10.0,27.0,34.0,42.0,10.0,R,25.0
Texas1984,11.0,42.0,46.0,25.0,5.0,R,26.0
Louisiana1984,12.0,37.5,39.0,23.0,3.0,R,23.0
Nevada1984,13.0,48.0,15.0,33.0,21.0,R,26.0
California1984,14.0,34.0,22.0,31.0,2.0,R,21.0
Georgia1984,15.0,30.5,33.0,32.0,17.0,R,26.0
North Carolina1984,16.0,17.0,47.0,45.0,39.0,R,33.0
New Mexico1984,17.0,45.0,6.0,2.0,8.0,R,16.0
Arkansas1984,18.0,29.0,31.0,36.0,23.0,R,27.0
Kentucky1984,19.0,5.0,37.0,30.0,22.0,R,23.0
Virginia1984,20.0,18.0,41.0,40.0,35.0,R,31.0
North Dakota1984,21.0,21.5,4.0,5.0,34.0,R,17.0
West Virginia1984,22.0,2.0,13.0,9.0,16.0,R,12.0
Oklahoma1984,23.0,4.0,8.0,6.0,14.0,R,11.0
Montana1984,24.0,37.5,9.0,37.0,27.0,R,27.0
South Dakota1984,25.0,35.0,5.0,24.0,36.0,R,25.0
Colorado1984,26.0,39.0,27.0,20.0,11.0,R,25.0
Missouri1984,27.0,12.0,20.0,14.0,24.0,R,19.0
Nebraska1984,28.0,33.0,38.0,34.0,20.0,R,31.0
Maryland1984,29.0,28.0,16.0,15.0,38.0,R,25.0
Maine1984,30.0,26.0,7.0,28.0,47.0,R,28.0
Kansas1984,31.0,25.0,14.0,4.0,12.0,R,17.0
Minnesota1984,32.0,40.5,10.0,10.0,32.0,D,25.0
Indiana1984,33.0,30.5,35.0,17.0,28.0,R,29.0
Wyoming1984,34.0,43.0,17.0,13.0,31.0,R,28.0
Ohio1984,35.0,9.0,18.0,11.0,19.0,R,18.0
Iowa1984,36.0,36.0,29.0,29.0,33.0,R,33.0
New York1984,37.0,32.0,45.0,48.0,40.0,R,40.0
Wisconsin1984,38.0,3.0,30.0,39.0,37.0,R,29.0
Utah1984,39.0,47.0,3.0,3.0,7.0,R,20.0
Connecticut1984,40.0,11.0,19.0,19.0,44.0,R,27.0
New Hampshire1984,41.0,19.0,11.0,26.0,49.0,R,29.0
New Jersey1984,42.0,15.5,44.0,35.0,42.0,R,36.0
Delaware1984,43.0,24.0,32.0,8.0,48.0,R,31.0
Pennsylvania1984,44.0,6.0,43.0,38.0,41.0,R,34.0
Illinois1984,45.0,21.5,28.0,16.0,13.0,R,25.0
Michigan1984,46.0,21.5,48.0,44.0,30.0,R,38.0
Massachusetts1984,47.0,14.0,23.0,21.0,45.0,R,30.0
Rhode Island1984,48.0,10.0,1.0,1.0,46.0,R,21.0
Vermont1984,49.0,21.5,2.0,7.0,50.0,R,26.0
Alaska1984,50.0,8.0,40.0,27.0,43.0,R,34.0
Hawaii1985,1.0,50.0,22.0,23.0,1.0,R,19.0
Florida1985,2.0,46.0,26.0,17.0,6.0,R,19.0
Arizona1985,3.0,1.0,24.0,40.0,4.0,R,14.0
Tennessee1985,4.0,13.0,49.0,49.0,8.0,R,25.0
Mississippi1985,5.0,7.0,13.0,14.0,14.0,R,11.0
South Carolina1985,6.0,15.5,42.0,43.0,29.0,R,27.0
Alabama1985,7.0,27.0,33.0,42.0,9.0,R,24.0
Washington1985,8.0,44.0,50.0,50.0,17.0,R,34.0
Idaho1985,9.0,49.0,36.0,47.0,20.0,R,32.0
Louisiana1985,10.0,37.5,38.0,24.0,3.0,R,22.0
Texas1985,11.0,42.0,46.0,26.0,7.0,R,26.0
Oregon1985,12.0,40.5,21.0,46.0,27.0,R,29.0
Georgia1985,13.0,30.5,32.0,33.0,16.0,R,25.0
North Carolina1985,14.0,17.0,47.0,45.0,36.0,R,32.0
Nevada1985,15.0,48.0,14.0,32.0,23.0,R,26.0
California1985,16.0,34.0,20.0,29.0,2.0,R,20.0
Arkansas1985,17.0,29.0,30.0,38.0,21.0,R,27.0
Kentucky1985,18.0,5.0,37.0,30.0,22.0,R,22.0
Virginia1985,19.0,18.0,41.0,41.0,35.0,R,31.0
New Mexico1985,20.0,45.0,6.0,3.0,31.0,R,21.0
West Virginia1985,21.0,2.0,12.0,8.0,12.0,R,11.0
Oklahoma1985,22.0,4.0,8.0,7.0,13.0,R,11.0
Maryland1985,23.0,28.0,15.0,13.0,34.0,R,23.0
Colorado1985,24.0,39.0,25.0,21.0,10.0,R,24.0
South Dakota1985,25.0,35.0,5.0,22.0,39.0,R,25.0
Montana1985,26.0,37.5,9.0,36.0,28.0,R,27.0
North Dakota1985,27.0,21.5,4.0,4.0,37.0,R,19.0
Missouri1985,28.0,12.0,19.0,16.0,19.0,R,19.0
Nebraska1985,29.0,33.0,39.0,34.0,25.0,R,32.0
Iowa1985,30.0,36.0,28.0,31.0,33.0,R,32.0
Indiana1985,31.0,30.5,34.0,19.0,26.0,R,28.0
Kansas1985,32.0,25.0,35.0,9.0,15.0,R,23.0
New York1985,33.0,32.0,45.0,48.0,40.0,R,40.0
Minnesota1985,34.0,40.5,10.0,10.0,32.0,D,25.0
Ohio1985,35.0,9.0,17.0,11.0,18.0,R,18.0
Wyoming1985,36.0,43.0,16.0,12.0,24.0,R,26.0
Wisconsin1985,37.0,3.0,29.0,39.0,38.0,R,29.0
Connecticut1985,38.0,11.0,18.0,18.0,45.0,R,26.0
Utah1985,39.0,47.0,3.0,2.0,5.0,R,19.0
Pennsylvania1985,40.0,6.0,43.0,37.0,41.0,R,33.0
New Jersey1985,41.0,15.5,44.0,35.0,43.0,R,36.0
Delaware1985,42.0,24.0,31.0,6.0,46.0,R,30.0
Illinois1985,43.0,21.5,27.0,15.0,11.0,R,24.0
New Hampshire1985,44.0,19.0,11.0,25.0,48.0,R,29.0
Maine1985,45.0,26.0,7.0,28.0,49.0,R,31.0
Massachusetts1985,46.0,14.0,23.0,20.0,44.0,R,29.0
Michigan1985,47.0,21.5,48.0,44.0,30.0,R,38.0
Alaska1985,48.0,8.0,40.0,27.0,42.0,R,33.0
Rhode Island1985,49.0,10.0,1.0,1.0,47.0,R,22.0
Vermont1985,50.0,21.5,2.0,5.0,50.0,R,26.0
Hawaii1986,1.0,48.0,22.0,23.0,1.0,R,19.0
Florida1986,2.0,46.0,27.0,18.0,7.0,R,20.0
Arizona1986,3.0,1.0,23.0,42.0,4.0,R,15.0
Tennessee1986,4.0,17.5,49.0,49.0,8.0,R,26.0
Mississippi1986,5.0,27.0,12.0,12.0,14.0,R,14.0
Washington1986,6.0,45.0,50.0,50.0,19.0,R,34.0
Idaho1986,7.0,50.0,35.0,47.0,22.0,R,32.0
South Carolina1986,8.0,20.0,43.0,44.0,27.0,R,28.0
Texas1986,9.0,43.0,46.0,28.0,6.0,R,26.0
Oregon1986,10.0,38.0,21.0,46.0,24.0,R,28.0
Alabama1986,11.0,29.0,33.0,41.0,12.0,R,25.0
Louisiana1986,12.0,35.5,39.0,29.0,3.0,R,24.0
Nevada1986,13.0,49.0,14.0,32.0,18.0,R,25.0
Georgia1986,14.0,33.0,32.0,31.0,15.0,R,25.0
North Carolina1986,15.0,6.0,47.0,45.0,35.0,R,30.0
California1986,16.0,39.5,19.0,30.0,2.0,R,21.0
New Mexico1986,17.0,37.0,5.0,2.0,16.0,R,15.0
Arkansas1986,18.0,34.0,30.0,37.0,26.0,R,29.0
Kentucky1986,19.0,5.0,34.0,26.0,21.0,R,21.0
Oklahoma1986,20.0,26.0,8.0,6.0,10.0,R,14.0
Virginia1986,21.0,17.5,41.0,40.0,36.0,R,31.0
West Virginia1986,22.0,23.0,11.0,9.0,17.0,R,16.0
Colorado1986,23.0,39.5,24.0,20.0,9.0,R,23.0
Montana1986,24.0,35.5,9.0,39.0,29.0,R,27.0
Maryland1986,25.0,32.0,16.0,11.0,32.0,R,23.0
Missouri1986,26.0,13.5,20.0,14.0,25.0,R,20.0
North Dakota1986,27.0,25.0,4.0,4.0,41.0,R,20.0
Kansas1986,28.0,31.0,37.0,15.0,13.0,R,25.0
Nebraska1986,29.0,42.0,38.0,38.0,20.0,R,33.0
Iowa1986,30.0,8.0,28.0,34.0,34.0,R,27.0
South Dakota1986,31.0,12.0,6.0,22.0,43.0,R,23.0
Delaware1986,32.0,24.0,31.0,7.0,44.0,R,28.0
Indiana1986,33.0,21.5,36.0,19.0,28.0,R,28.0
Wyoming1986,34.0,41.0,15.0,13.0,31.0,R,27.0
Utah1986,35.0,47.0,3.0,3.0,5.0,R,19.0
Minnesota1986,36.0,44.0,10.0,10.0,33.0,D,27.0
Wisconsin1986,37.0,2.0,29.0,36.0,37.0,R,28.0
