StateYear,Residential CO2 emissions per capita,Total domestic water use per capita,Total energy consumption per capita,Renewable energy consumption per capita,Petroleum product consumption per capita,Outcome,Average ranking
California1988,13.0,39.5,20.0,26.0,2.0,R,20.0
Nevada1988,14.0,49.0,14.0,20.0,19.0,R,23.0
Georgia1988,15.0,33.0,32.0,31.0,13.0,R,25.0
North Carolina1988,16.0,6.0,47.0,46.0,36.0,R,30.0
Arkansas1988,17.0,34.0,30.0,40.0,21.0,R,28.0
New Mexico1988,18.0,37.0,6.0,3.0,12.0,R,15.0
Kentucky1988,19.0,5.0,34.0,24.0,26.0,R,22.0
Oklahoma1988,20.0,26.0,8.0,5.0,8.0,R,13.0
Virginia1988,21.0,17.5,41.0,41.0,35.0,R,31.0
West Virginia1988,22.0,23.0,11.0,9.0,20.0,D,17.0
Montana1988,23.0,35.5,9.0,37.0,27.0,R,26.0
Colorado1988,24.0,39.5,23.0,16.0,9.0,R,22.0
Missouri1988,25.0,13.5,21.0,14.0,22.0,R,19.0
Utah1988,26.0,47.0,3.0,2.0,6.0,R,17.0
Maryland1988,27.0,32.0,15.0,11.0,34.0,R,24.0
North Dakota1988,28.0,25.0,4.0,4.0,40.0,R,20.0
Nebraska1988,29.0,42.0,38.0,38.0,25.0,R,34.0
South Dakota1988,30.0,12.0,5.0,23.0,41.0,R,22.0
Iowa1988,31.0,8.0,29.0,39.0,32.0,D,28.0
Kansas1988,32.0,31.0,37.0,15.0,15.0,R,26.0
Wyoming1988,33.0,41.0,16.0,8.0,31.0,R,26.0
Indiana1988,34.0,21.5,36.0,22.0,29.0,R,28.0
Delaware1988,35.0,24.0,31.0,7.0,44.0,R,28.0
Minnesota1988,36.0,44.0,10.0,10.0,33.0,D,27.0
Wisconsin1988,37.0,2.0,27.0,36.0,37.0,D,28.0
Ohio1988,38.0,7.0,17.0,12.0,24.0,R,20.0
Alaska1988,39.0,4.0,39.0,30.0,39.0,R,30.0
New York1988,40.0,30.0,44.0,48.0,42.0,D,41.0
Pennsylvania1988,41.0,3.0,42.0,35.0,38.0,R,32.0
Illinois1988,42.0,28.0,28.0,21.0,10.0,R,26.0
New Jersey1988,43.0,17.5,45.0,34.0,43.0,R,36.0
New Hampshire1988,44.0,9.0,13.0,27.0,48.0,R,28.0
Vermont1988,45.0,21.5,2.0,6.0,49.0,R,25.0
Michigan1988,46.0,17.5,48.0,44.0,30.0,R,37.0
Massachusetts1988,47.0,11.0,18.0,17.0,45.0,D,28.0
Connecticut1988,48.0,13.5,19.0,18.0,47.0,R,29.0
Rhode Island1988,49.0,10.0,1.0,1.0,46.0,D,21.0
Maine1988,50.0,15.0,7.0,25.0,50.0,R,29.0
Hawaii1989,1.0,48.0,28.0,33.0,1.0,D,22.0
Florida1989,2.0,46.0,25.0,25.0,5.0,R,21.0
Arizona1989,3.0,1.0,21.0,34.0,4.0,R,13.0
Washington1989,4.0,45.0,50.0,50.0,15.0,D,33.0
Mississippi1989,5.0,27.0,13.0,18.0,18.0,R,16.0
Tennessee1989,6.0,17.5,49.0,49.0,11.0,R,26.0
South Carolina1989,7.0,20.0,43.0,44.0,28.0,R,28.0
Oregon1989,8.0,38.0,23.0,45.0,19.0,D,27.0
Louisiana1989,9.0,35.5,39.0,37.0,2.0,R,24.0
Idaho1989,10.0,50.0,35.0,46.0,22.0,R,33.0
Alabama1989,11.0,29.0,33.0,42.0,14.0,R,26.0
Texas1989,12.0,43.0,46.0,26.0,7.0,R,27.0
North Carolina1989,13.0,6.0,47.0,48.0,35.0,R,30.0
California1989,14.0,39.5,20.0,31.0,3.0,R,22.0
Georgia1989,15.0,33.0,32.0,39.0,13.0,R,26.0
Nevada1989,16.0,49.0,14.0,22.0,21.0,R,24.0
Arkansas1989,17.0,34.0,30.0,40.0,20.0,R,28.0
New Mexico1989,18.0,37.0,6.0,3.0,16.0,R,16.0
Virginia1989,19.0,17.5,41.0,41.0,34.0,R,30.0
Kentucky1989,20.0,5.0,34.0,24.0,24.0,R,21.0
Oklahoma1989,21.0,26.0,8.0,7.0,8.0,R,14.0
West Virginia1989,22.0,23.0,12.0,8.0,17.0,D,16.0
Maryland1989,23.0,32.0,29.0,21.0,32.0,R,27.0
Colorado1989,24.0,39.5,22.0,14.0,10.0,R,22.0
Montana1989,25.0,35.5,9.0,38.0,30.0,R,28.0
Missouri1989,26.0,13.5,19.0,12.0,26.0,R,19.0
Iowa1989,27.0,8.0,27.0,29.0,33.0,D,25.0
Utah1989,28.0,47.0,3.0,2.0,6.0,R,17.0
North Dakota1989,29.0,25.0,4.0,4.0,41.0,R,21.0
Wyoming1989,30.0,41.0,15.0,9.0,27.0,R,24.0
Nebraska1989,31.0,42.0,38.0,36.0,25.0,R,34.0
Kansas1989,32.0,31.0,36.0,13.0,12.0,R,25.0
Indiana1989,33.0,21.5,37.0,19.0,29.0,R,28.0
Delaware1989,34.0,24.0,31.0,6.0,43.0,R,28.0
South Dakota1989,35.0,12.0,5.0,20.0,44.0,R,23.0
New York1989,36.0,30.0,44.0,47.0,39.0,D,39.0
Minnesota1989,37.0,44.0,10.0,11.0,36.0,D,28.0
Wisconsin1989,38.0,2.0,26.0,28.0,37.0,D,26.0
Ohio1989,39.0,7.0,16.0,10.0,23.0,R,19.0
Pennsylvania1989,40.0,3.0,42.0,32.0,38.0,R,31.0
New Jersey1989,41.0,17.5,45.0,30.0,40.0,R,35.0
Illinois1989,42.0,28.0,24.0,16.0,9.0,R,24.0
Alaska1989,43.0,4.0,40.0,35.0,42.0,R,33.0
Rhode Island1989,44.0,10.0,1.0,1.0,45.0,D,20.0
Maine1989,45.0,15.0,7.0,27.0,49.0,R,29.0
New Hampshire1989,46.0,9.0,11.0,23.0,48.0,R,27.0
Michigan1989,47.0,17.5,48.0,43.0,31.0,R,37.0
Vermont1989,48.0,21.5,2.0,5.0,50.0,R,25.0
Massachusetts1989,49.0,11.0,17.0,17.0,46.0,D,28.0
Connecticut1989,50.0,13.5,18.0,15.0,47.0,R,29.0
Hawaii1990,1.0,48.0,28.0,33.0,1.0,D,22.0
Florida1990,2.0,46.0,24.0,24.0,5.0,R,20.0
Arizona1990,3.0,1.0,19.0,32.0,4.0,R,12.0
South Carolina1990,4.0,20.0,43.0,43.0,26.0,R,27.0
Tennessee1990,5.0,17.5,49.0,49.0,10.0,R,26.0
Mississippi1990,6.0,27.0,12.0,21.0,19.0,R,17.0
Oregon1990,7.0,38.0,21.0,45.0,15.0,D,25.0
Washington1990,8.0,45.0,50.0,50.0,16.0,D,34.0
Louisiana1990,9.0,35.5,39.0,35.0,2.0,R,24.0
Texas1990,10.0,43.0,46.0,27.0,7.0,R,27.0
Alabama1990,11.0,29.0,31.0,41.0,14.0,R,25.0
North Carolina1990,12.0,6.0,47.0,48.0,34.0,R,29.0
Idaho1990,13.0,50.0,34.0,44.0,23.0,R,33.0
Georgia1990,14.0,33.0,30.0,38.0,13.0,R,26.0
Nevada1990,15.0,49.0,14.0,22.0,18.0,R,24.0
California1990,16.0,39.5,20.0,28.0,3.0,R,21.0
Virginia1990,17.0,17.5,40.0,40.0,35.0,R,30.0
Arkansas1990,18.0,34.0,29.0,39.0,20.0,R,28.0
Kentucky1990,19.0,5.0,33.0,23.0,21.0,R,20.0
Oklahoma1990,20.0,26.0,8.0,9.0,8.0,R,14.0
Maryland1990,21.0,32.0,26.0,20.0,31.0,R,26.0
New Mexico1990,22.0,37.0,6.0,3.0,29.0,R,19.0
West Virginia1990,23.0,23.0,10.0,7.0,17.0,D,16.0
Missouri1990,24.0,13.5,18.0,13.0,24.0,R,18.0
Delaware1990,25.0,24.0,32.0,5.0,42.0,R,26.0
Iowa1990,26.0,8.0,27.0,29.0,33.0,D,25.0
Colorado1990,27.0,39.5,22.0,14.0,12.0,R,23.0
North Dakota1990,28.0,25.0,4.0,4.0,41.0,R,20.0
Nebraska1990,29.0,42.0,38.0,34.0,22.0,R,33.0
Utah1990,30.0,47.0,3.0,2.0,6.0,R,18.0
Montana1990,31.0,35.5,7.0,37.0,32.0,R,28.0
Kansas1990,32.0,31.0,37.0,11.0,11.0,R,24.0
Indiana1990,33.0,21.5,36.0,17.0,28.0,R,27.0
Wyoming1990,34.0,41.0,15.0,10.0,27.0,R,25.0
Minnesota1990,35.0,44.0,9.0,12.0,36.0,D,27.0
New York1990,36.0,30.0,44.0,47.0,40.0,D,39.0
Ohio1990,37.0,7.0,13.0,8.0,25.0,R,18.0
Wisconsin1990,38.0,2.0,23.0,26.0,39.0,D,26.0
New Jersey1990,39.0,17.5,45.0,25.0,37.0,R,33.0
Pennsylvania1990,40.0,3.0,42.0,31.0,38.0,R,31.0
South Dakota1990,41.0,12.0,5.0,19.0,46.0,R,25.0
New Hampshire1990,42.0,9.0,11.0,30.0,48.0,R,28.0
Illinois1990,43.0,28.0,25.0,15.0,9.0,R,24.0
Rhode Island1990,44.0,10.0,1.0,1.0,44.0,D,20.0
Michigan1990,45.0,17.5,48.0,42.0,30.0,R,36.0
Maine1990,46.0,15.0,35.0,46.0,49.0,R,38.0
Connecticut1990,47.0,13.5,16.0,16.0,47.0,R,28.0
Vermont1990,48.0,21.5,2.0,6.0,50.0,R,26.0
Massachusetts1990,49.0,11.0,17.0,18.0,45.0,D,28.0
Alaska1990,50.0,4.0,41.0,36.0,43.0,R,35.0
Hawaii1991,1.0,27.0,22.0,34.0,1.0,D,17.0
Florida1991,2.0,46.0,23.0,24.0,6.0,R,20.0
Arizona1991,3.0,47.0,19.0,30.0,3.0,R,20.0
South Carolina1991,4.0,39.0,44.0,43.0,25.0,R,31.0
Tennessee1991,5.0,12.5,49.0,49.0,10.0,R,25.0
Mississippi1991,6.0,31.0,12.0,22.0,17.0,R,18.0
Alabama1991,7.0,33.0,33.0,42.0,11.0,R,25.0
Oregon1991,8.0,38.0,21.0,46.0,16.0,D,26.0
Louisiana1991,9.0,37.0,41.0,37.0,2.0,R,25.0
Texas1991,10.0,44.0,47.0,28.0,5.0,R,27.0
Washington1991,11.0,45.0,50.0,50.0,19.0,D,35.0
North Carolina1991,12.0,10.5,48.0,45.0,34.0,R,30.0
Idaho1991,13.0,50.0,35.0,44.0,23.0,R,33.0
Georgia1991,14.0,30.0,31.0,38.0,12.0,R,25.0
California1991,15.0,35.5,18.0,29.0,4.0,R,20.0
Virginia1991,16.0,22.5,40.0,41.0,33.0,R,30.0
Nevada1991,17.0,49.0,14.0,25.0,15.0,R,24.0
Arkansas1991,18.0,20.0,30.0,39.0,20.0,R,25.0
Kentucky1991,19.0,2.0,34.0,23.0,24.0,R,20.0
Oklahoma1991,20.0,26.0,7.0,8.0,8.0,R,14.0
Maryland1991,21.0,33.0,26.0,16.0,31.0,R,25.0
West Virginia1991,22.0,16.5,9.0,7.0,18.0,D,14.0
New Mexico1991,23.0,41.0,6.0,3.0,21.0,R,19.0
Missouri1991,24.0,12.5,20.0,10.0,28.0,R,19.0
Montana1991,25.0,35.5,8.0,40.0,29.0,R,28.0
Delaware1991,26.0,19.0,32.0,6.0,42.0,R,25.0
Iowa1991,27.0,6.0,29.0,32.0,35.0,D,26.0
Colorado1991,28.0,40.0,25.0,15.0,14.0,R,24.0
Nebraska1991,29.0,43.0,39.0,35.0,26.0,R,34.0
South Dakota1991,30.0,21.0,5.0,18.0,41.0,R,23.0
North Dakota1991,31.0,22.5,4.0,4.0,43.0,R,21.0
Utah1991,32.0,48.0,3.0,2.0,7.0,R,18.0
Indiana1991,33.0,16.5,37.0,19.0,27.0,R,26.0
Kansas1991,34.0,29.0,38.0,12.0,13.0,R,25.0
New York1991,35.0,33.0,45.0,48.0,38.0,D,40.0
Ohio1991,36.0,4.0,13.0,9.0,22.0,R,17.0
New Jersey1991,37.0,24.5,46.0,33.0,37.0,R,36.0
Wyoming1991,38.0,42.0,15.0,11.0,30.0,R,27.0
Pennsylvania1991,39.0,3.0,42.0,31.0,39.0,R,31.0
Minnesota1991,40.0,10.5,11.0,13.0,36.0,D,22.0
Wisconsin1991,41.0,1.0,24.0,26.0,40.0,D,26.0
New Hampshire1991,42.0,16.5,10.0,27.0,48.0,R,29.0
Rhode Island1991,43.0,6.0,1.0,1.0,45.0,D,19.0
Illinois1991,44.0,28.0,28.0,14.0,9.0,R,25.0
Massachusetts1991,45.0,8.0,16.0,20.0,46.0,D,27.0
Connecticut1991,46.0,14.0,17.0,17.0,47.0,R,28.0
Michigan1991,47.0,24.5,27.0,21.0,32.0,R,30.0
Maine1991,48.0,6.0,36.0,47.0,49.0,R,37.0
Vermont1991,49.0,16.5,2.0,5.0,50.0,R,24.0
Alaska1991,50.0,9.0,43.0,36.0,44.0,R,36.0
Hawaii1992,1.0,27.0,25.0,31.0,2.0,D,17.0
Florida1992,2.0,46.0,22.0,25.0,7.0,R,20.0
Arizona1992,3.0,47.0,18.0,29.0,6.0,R,21.0
South Carolina1992,4.0,39.0,44.0,44.0,23.0,R,31.0
Oregon1992,5.0,38.0,20.0,45.0,14.0,D,24.0
Washington1992,6.0,45.0,50.0,50.0,15.0,D,33.0
Texas1992,7.0,44.0,47.0,30.0,3.0,R,26.0
Mississippi1992,8.0,31.0,11.0,21.0,18.0,R,18.0
Tennessee1992,9.0,12.5,49.0,49.0,13.0,D,26.0
Idaho1992,10.0,50.0,35.0,43.0,22.0,R,32.0
Louisiana1992,11.0,37.0,41.0,38.0,5.0,D,26.0
Alabama1992,12.0,33.0,33.0,42.0,11.0,R,26.0
North Carolina1992,13.0,10.5,48.0,48.0,34.0,R,31.0
California1992,14.0,35.5,17.0,27.0,1.0,D,19.0
Nevada1992,15.0,49.0,13.0,23.0,17.0,D,23.0
Georgia1992,16.0,30.0,31.0,39.0,16.0,D,26.0
Arkansas1992,17.0,20.0,29.0,40.0,19.0,D,25.0
Virginia1992,18.0,22.5,40.0,41.0,33.0,R,31.0
Oklahoma1992,19.0,26.0,8.0,9.0,8.0,R,14.0
Kentucky1992,20.0,2.0,34.0,22.0,25.0,D,21.0
New Mexico1992,21.0,41.0,6.0,3.0,20.0,D,18.0
Montana1992,22.0,35.5,7.0,37.0,26.0,D,26.0
Maryland1992,23.0,33.0,24.0,16.0,32.0,D,26.0
West Virginia1992,24.0,16.5,9.0,7.0,21.0,D,16.0
South Dakota1992,25.0,21.0,5.0,15.0,40.0,R,21.0
Utah1992,26.0,48.0,3.0,2.0,4.0,R,17.0
Missouri1992,27.0,12.5,19.0,12.0,30.0,D,20.0
Iowa1992,28.0,6.0,28.0,32.0,35.0,D,26.0
Colorado1992,29.0,40.0,23.0,13.0,12.0,D,23.0
Nebraska1992,30.0,43.0,39.0,35.0,27.0,R,35.0
North Dakota1992,31.0,22.5,4.0,4.0,42.0,R,21.0
Kansas1992,32.0,29.0,37.0,11.0,10.0,R,24.0
Delaware1992,33.0,19.0,32.0,6.0,43.0,D,27.0
Wyoming1992,34.0,42.0,14.0,10.0,29.0,R,26.0
Indiana1992,35.0,16.5,36.0,17.0,28.0,R,26.0
Minnesota1992,36.0,10.5,30.0,24.0,36.0,D,27.0
Wisconsin1992,37.0,1.0,21.0,26.0,38.0,D,25.0
New York1992,38.0,33.0,45.0,47.0,41.0,D,41.0
Ohio1992,39.0,4.0,12.0,8.0,24.0,D,17.0
New Jersey1992,40.0,24.5,46.0,33.0,37.0,D,36.0
Pennsylvania1992,41.0,3.0,42.0,34.0,39.0,D,32.0
New Hampshire1992,42.0,16.5,10.0,28.0,47.0,D,29.0
Illinois1992,43.0,28.0,26.0,14.0,9.0,D,24.0
Maine1992,44.0,6.0,38.0,46.0,49.0,D,37.0
Michigan1992,45.0,24.5,27.0,20.0,31.0,D,30.0
Massachusetts1992,46.0,8.0,15.0,18.0,45.0,D,26.0
Rhode Island1992,47.0,6.0,1.0,1.0,46.0,D,20.0
Vermont1992,48.0,16.5,2.0,5.0,50.0,D,24.0
Connecticut1992,49.0,14.0,16.0,19.0,48.0,D,29.0
Alaska1992,50.0,9.0,43.0,36.0,44.0,R,36.0
Hawaii1993,1.0,27.0,19.0,30.0,1.0,D,16.0
Florida1993,2.0,46.0,21.0,23.0,7.0,R,20.0
Arizona1993,3.0,47.0,18.0,29.0,5.0,R,20.0
South Carolina1993,4.0,39.0,44.0,43.0,23.0,R,31.0
Texas1993,5.0,44.0,47.0,27.0,6.0,R,26.0
Mississippi1993,6.0,31.0,11.0,22.0,21.0,R,18.0
Louisiana1993,7.0,37.0,41.0,37.0,2.0,D,25.0
Tennessee1993,8.0,12.5,49.0,49.0,12.0,D,26.0
Oregon1993,9.0,38.0,20.0,44.0,18.0,D,26.0
Washington1993,10.0,45.0,50.0,50.0,17.0,D,34.0
Alabama1993,11.0,33.0,33.0,42.0,15.0,R,27.0
North Carolina1993,12.0,10.5,48.0,47.0,34.0,R,30.0
Idaho1993,13.0,50.0,35.0,45.0,20.0,R,33.0
California1993,14.0,35.5,16.0,32.0,4.0,D,20.0
Nevada1993,15.0,49.0,13.0,26.0,14.0,D,23.0
Georgia1993,16.0,30.0,31.0,39.0,16.0,D,26.0
Virginia1993,17.0,22.5,40.0,41.0,31.0,R,30.0
Arkansas1993,18.0,20.0,30.0,40.0,19.0,D,25.0
New Mexico1993,19.0,41.0,6.0,3.0,11.0,D,16.0
Kentucky1993,20.0,2.0,34.0,21.0,28.0,D,21.0
West Virginia1993,21.0,16.5,9.0,7.0,22.0,D,15.0
Maryland1993,22.0,33.0,23.0,18.0,33.0,D,26.0
Oklahoma1993,23.0,26.0,7.0,10.0,8.0,R,15.0
Montana1993,24.0,35.5,8.0,38.0,27.0,D,26.0
Delaware1993,25.0,19.0,32.0,8.0,42.0,D,25.0
North Dakota1993,26.0,22.5,4.0,4.0,41.0,R,20.0
Utah1993,27.0,48.0,3.0,2.0,3.0,R,17.0
Colorado1993,28.0,40.0,25.0,15.0,13.0,D,24.0
South Dakota1993,29.0,21.0,5.0,12.0,43.0,R,22.0
Missouri1993,30.0,12.5,27.0,16.0,30.0,D,23.0
Iowa1993,31.0,6.0,28.0,31.0,37.0,D,27.0
Nebraska1993,32.0,43.0,39.0,34.0,25.0,R,35.0
Kansas1993,33.0,29.0,36.0,9.0,10.0,R,23.0
Indiana1993,34.0,16.5,38.0,14.0,29.0,R,26.0
Wyoming1993,35.0,42.0,14.0,11.0,24.0,R,25.0
New York1993,36.0,33.0,45.0,48.0,38.0,D,40.0
Minnesota1993,37.0,10.5,29.0,25.0,35.0,D,27.0
New Jersey1993,38.0,24.5,46.0,33.0,36.0,D,36.0
Ohio1993,39.0,4.0,12.0,6.0,26.0,D,17.0
Wisconsin1993,40.0,1.0,22.0,24.0,39.0,D,25.0
Pennsylvania1993,41.0,3.0,43.0,35.0,40.0,D,32.0
New Hampshire1993,42.0,16.5,10.0,28.0,48.0,D,29.0
Illinois1993,43.0,28.0,26.0,13.0,9.0,D,24.0
Maine1993,44.0,6.0,37.0,46.0,49.0,D,36.0
Michigan1993,45.0,24.5,24.0,17.0,32.0,D,28.0
Rhode Island1993,46.0,6.0,1.0,1.0,45.0,D,20.0
Vermont1993,47.0,16.5,2.0,5.0,50.0,D,24.0
Connecticut1993,48.0,14.0,15.0,20.0,47.0,D,29.0
Massachusetts1993,49.0,8.0,17.0,19.0,46.0,D,28.0
Alaska1993,50.0,9.0,42.0,36.0,44.0,R,36.0
Hawaii1994,1.0,27.0,18.0,29.0,1.0,D,15.0
Florida1994,2.0,46.0,20.0,22.0,7.0,R,19.0
Arizona1994,3.0,47.0,17.0,30.0,6.0,R,21.0
South Carolina1994,4.0,39.0,44.0,44.0,22.0,R,31.0
Texas1994,5.0,44.0,47.0,25.0,5.0,R,25.0
Louisiana1994,6.0,37.0,42.0,36.0,3.0,D,25.0
Oregon1994,7.0,38.0,19.0,43.0,17.0,D,25.0
Mississippi1994,8.0,31.0,38.0,39.0,21.0,R,27.0
Tennessee1994,9.0,12.5,49.0,49.0,14.0,D,27.0
Alabama1994,10.0,33.0,32.0,42.0,16.0,R,27.0
Washington1994,11.0,45.0,50.0,50.0,18.0,D,35.0
Idaho1994,12.0,50.0,35.0,45.0,19.0,R,32.0
North Carolina1994,13.0,10.5,48.0,48.0,33.0,R,30.0
Nevada1994,14.0,49.0,13.0,23.0,13.0,D,22.0
California1994,15.0,35.5,15.0,27.0,4.0,D,19.0
Georgia1994,16.0,30.0,30.0,38.0,15.0,D,26.0
Arkansas1994,17.0,20.0,29.0,40.0,20.0,D,25.0
Virginia1994,18.0,22.5,40.0,41.0,32.0,R,31.0
New Mexico1994,19.0,41.0,6.0,3.0,11.0,D,16.0
Kentucky1994,20.0,2.0,33.0,21.0,28.0,D,21.0
Oklahoma1994,21.0,26.0,7.0,8.0,8.0,R,14.0
West Virginia1994,22.0,16.5,10.0,6.0,23.0,D,16.0
Montana1994,23.0,35.5,8.0,32.0,24.0,D,24.0
Maryland1994,24.0,33.0,22.0,18.0,34.0,D,26.0
Utah1994,25.0,48.0,3.0,2.0,2.0,R,16.0
Missouri1994,26.0,12.5,26.0,12.0,30.0,D,21.0
Colorado1994,27.0,40.0,24.0,14.0,12.0,D,23.0
North Dakota1994,28.0,22.5,4.0,4.0,40.0,R,20.0
Kansas1994,29.0,29.0,37.0,10.0,10.0,R,23.0
South Dakota1994,30.0,21.0,5.0,20.0,42.0,R,24.0
Nebraska1994,31.0,43.0,39.0,35.0,25.0,R,35.0
Iowa1994,32.0,6.0,27.0,31.0,36.0,D,26.0
Wyoming1994,33.0,42.0,12.0,11.0,26.0,R,25.0
Delaware1994,34.0,19.0,31.0,7.0,43.0,D,27.0
Indiana1994,35.0,16.5,36.0,15.0,29.0,R,26.0
New York1994,36.0,33.0,45.0,47.0,38.0,D,40.0
Minnesota1994,37.0,10.5,28.0,26.0,35.0,D,27.0
Wisconsin1994,38.0,1.0,21.0,24.0,39.0,D,25.0
Ohio1994,39.0,4.0,11.0,9.0,27.0,D,18.0
Pennsylvania1994,40.0,3.0,43.0,34.0,41.0,D,32.0
Illinois1994,41.0,28.0,25.0,13.0,9.0,D,23.0
New Jersey1994,42.0,24.5,46.0,33.0,37.0,D,36.0
New Hampshire1994,43.0,16.5,9.0,28.0,48.0,D,29.0
Michigan1994,44.0,24.5,23.0,16.0,31.0,D,28.0
Connecticut1994,45.0,14.0,14.0,17.0,47.0,D,27.0
Vermont1994,46.0,16.5,2.0,5.0,50.0,D,24.0
Maine1994,47.0,6.0,34.0,46.0,49.0,D,36.0
Rhode Island1994,48.0,6.0,1.0,1.0,46.0,D,20.0
Massachusetts1994,49.0,8.0,16.0,19.0,45.0,D,27.0
Alaska1994,50.0,9.0,41.0,37.0,44.0,R,36.0
Hawaii1995,1.0,27.0,17.0,28.0,1.0,D,15.0
Florida1995,2.0,46.0,19.0,22.0,6.0,R,19.0
Arizona1995,3.0,47.0,16.0,29.0,7.0,R,20.0
South Carolina1995,4.0,39.0,44.0,42.0,23.0,R,30.0
Texas1995,5.0,44.0,47.0,26.0,5.0,R,25.0
Louisiana1995,6.0,37.0,41.0,34.0,3.0,D,24.0
Oregon1995,7.0,38.0,18.0,43.0,14.0,D,24.0
Mississippi1995,8.0,31.0,37.0,37.0,20.0,R,27.0
Washington1995,9.0,45.0,50.0,50.0,18.0,D,34.0
Alabama1995,10.0,33.0,33.0,41.0,16.0,R,27.0
Tennessee1995,11.0,12.5,49.0,49.0,12.0,D,27.0
Nevada1995,12.0,49.0,14.0,23.0,9.0,D,21.0
California1995,13.0,35.5,13.0,30.0,4.0,D,19.0
Idaho1995,14.0,50.0,35.0,44.0,22.0,R,33.0
North Carolina1995,15.0,10.5,48.0,47.0,34.0,R,31.0
Georgia1995,16.0,30.0,30.0,36.0,13.0,D,25.0
New Mexico1995,17.0,41.0,6.0,3.0,11.0,D,16.0
Virginia1995,18.0,22.5,40.0,40.0,32.0,R,30.0
Arkansas1995,19.0,20.0,29.0,39.0,15.0,D,24.0
Oklahoma1995,20.0,26.0,7.0,9.0,8.0,R,14.0
Kentucky1995,21.0,2.0,34.0,20.0,27.0,D,21.0
West Virginia1995,22.0,16.5,9.0,6.0,21.0,D,15.0
Maryland1995,23.0,33.0,21.0,17.0,33.0,D,25.0
Utah1995,24.0,48.0,3.0,2.0,2.0,R,16.0
Montana1995,25.0,35.5,38.0,48.0,24.0,D,34.0
Missouri1995,26.0,12.5,25.0,12.0,30.0,D,21.0
North Dakota1995,27.0,22.5,4.0,5.0,41.0,R,20.0
Colorado1995,28.0,40.0,22.0,15.0,17.0,D,24.0
South Dakota1995,29.0,21.0,5.0,21.0,42.0,R,24.0
Nebraska1995,30.0,43.0,39.0,38.0,25.0,R,35.0
Delaware1995,31.0,19.0,27.0,7.0,43.0,D,25.0
Kansas1995,32.0,29.0,32.0,10.0,19.0,R,24.0
Iowa1995,33.0,6.0,26.0,31.0,37.0,D,27.0
Indiana1995,34.0,16.5,36.0,14.0,28.0,R,26.0
New York1995,35.0,33.0,45.0,45.0,39.0,D,39.0
Wyoming1995,36.0,42.0,11.0,11.0,29.0,R,26.0
Wisconsin1995,37.0,1.0,20.0,24.0,38.0,D,24.0
New Jersey1995,38.0,24.5,46.0,33.0,36.0,D,36.0
Minnesota1995,39.0,10.5,28.0,27.0,35.0,D,28.0
Pennsylvania1995,40.0,3.0,42.0,32.0,40.0,D,31.0
Ohio1995,41.0,4.0,10.0,8.0,26.0,D,18.0
New Hampshire1995,42.0,16.5,8.0,25.0,48.0,D,28.0
Connecticut1995,43.0,14.0,12.0,19.0,47.0,D,27.0
Illinois1995,44.0,28.0,24.0,13.0,10.0,D,24.0
Vermont1995,45.0,16.5,2.0,4.0,49.0,D,23.0
Massachusetts1995,46.0,8.0,15.0,18.0,44.0,D,26.0
Rhode Island1995,47.0,6.0,1.0,1.0,46.0,D,20.0
Michigan1995,48.0,24.5,23.0,16.0,31.0,D,28.0
Alaska1995,49.0,9.0,43.0,35.0,45.0,R,36.0
Maine1995,50.0,6.0,31.0,46.0,50.0,D,37.0
Hawaii1996,1.0,47.0,16.0,26.0,1.0,D,18.0
Florida1996,2.0,38.0,19.0,22.0,7.0,D,18.0
Arizona1996,3.0,40.0,17.0,30.0,5.0,R,19.0
South Carolina1996,4.0,17.5,45.0,43.0,20.0,R,26.0
Texas1996,5.0,41.5,48.0,21.0,2.0,R,24.0
Louisiana1996,6.0,25.0,42.0,35.0,6.0,D,23.0
Oregon1996,7.0,41.5,18.0,44.0,10.0,D,24.0
Mississippi1996,8.0,39.0,37.0,37.0,21.0,R,28.0
Nevada1996,9.0,48.0,15.0,23.0,8.0,D,21.0
California1996,10.0,17.5,12.0,29.0,3.0,D,14.0
Washington1996,11.0,45.0,50.0,50.0,17.0,D,35.0
Alabama1996,12.0,17.5,33.0,42.0,16.0,R,24.0
Tennessee1996,13.0,4.0,49.0,49.0,18.0,D,27.0
Idaho1996,14.0,49.0,38.0,47.0,19.0,R,33.0
North Carolina1996,15.0,9.5,35.0,33.0,34.0,R,25.0
Georgia1996,16.0,22.5,31.0,38.0,13.0,R,24.0
Arkansas1996,17.0,29.0,28.0,39.0,15.0,D,26.0
New Mexico1996,18.0,36.0,6.0,3.0,9.0,D,14.0
Virginia1996,19.0,17.5,41.0,41.0,31.0,R,30.0
Kentucky1996,20.0,1.0,34.0,18.0,27.0,D,20.0
Oklahoma1996,21.0,32.5,7.0,9.0,11.0,R,16.0
West Virginia1996,22.0,27.0,8.0,7.0,22.0,D,17.0
Utah1996,23.0,50.0,3.0,2.0,4.0,R,16.0
Maryland1996,24.0,30.0,21.0,19.0,32.0,D,25.0
Colorado1996,25.0,44.0,22.0,15.0,14.0,R,24.0
Montana1996,26.0,24.0,39.0,48.0,25.0,R,32.0
Missouri1996,27.0,7.0,25.0,11.0,30.0,D,20.0
Delaware1996,28.0,27.0,27.0,6.0,42.0,D,26.0
Wyoming1996,29.0,17.5,11.0,13.0,24.0,R,19.0
