State,Year,Outcome,MajorityVote
Alabama,2000,R,941173
Alaska,2000,R,167398
Arizona,2000,R,781652
Arkansas,2000,R,472940
California,2000,D,5861203
Colorado,2000,R,883748
Connecticut,2000,D,816015
Delaware,2000,D,180068
Florida,2000,R,2912790
Georgia,2000,R,1419720
Hawaii,2000,D,205286
Idaho,2000,R,336937
Illinois,2000,D,2589026
Indiana,2000,R,1245836
Iowa,2000,D,638517
Kansas,2000,R,622332
Kentucky,2000,R,872520
Louisiana,2000,R,927871
Maine,2000,D,319951
Maryland,2000,D,1093344
Massachusetts,2000,D,1616487
Michigan,2000,D,2170418
Minnesota,2000,D,1168266
Mississippi,2000,R,558884
Missouri,2000,R,1189924
Montana,2000,R,240178
Nebraska,2000,R,433862
Nevada,2000,R,301575
New Hampshire,2000,R,273559
New Jersey,2000,D,1788850
New Mexico,2000,D,286783
New York,2000,D,3942215
North Carolina,2000,R,1631163
North Dakota,2000,R,174852
Ohio,2000,R,2350363
Oklahoma,2000,R,744337
Oregon,2000,D,720342
Pennsylvania,2000,D,2485967
Rhode Island,2000,D,249508
South Carolina,2000,R,786892
South Dakota,2000,R,190700
Tennessee,2000,R,1061949
Texas,2000,R,3799639
Utah,2000,R,515096
Vermont,2000,D,149022
Virginia,2000,R,1437490
Washington,2000,D,1247652
West Virginia,2000,R,336475
Wisconsin,2000,D,1242987
Wyoming,2000,R,147674
Alabama,2004,D,1176394
Alaska,2004,D,190889
Arizona,2004,D,1104294
Arkansas,2004,D,572898
California,2004,R,6745485
Colorado,2004,D,1101256
Connecticut,2004,R,857488
Delaware,2004,R,200152
Florida,2004,D,3964522
Georgia,2004,D,1914254
Hawaii,2004,R,231708
Idaho,2004,D,409235
Illinois,2004,R,2891550
Indiana,2004,D,1479438
Iowa,2004,D,751957
Kansas,2004,D,736456
Kentucky,2004,D,1069439
Louisiana,2004,D,1102169
Maine,2004,R,396842
Maryland,2004,D,1334493
Massachusetts,2004,R,1803800
Michigan,2004,R,2479183
Minnesota,2004,R,1445014
Mississippi,2004,D,684981
Missouri,2004,D,1455713
Montana,2004,D,266063
Nebraska,2004,D,512814
Nevada,2004,D,418690
New Hampshire,2004,R,340511
New Jersey,2004,R,1911430
New Mexico,2004,D,376930
New York,2004,R,4314280
North Carolina,2004,D,1961166
North Dakota,2004,D,196651
Ohio,2004,D,2859768
Oklahoma,2004,D,959792
Oregon,2004,R,943163
Pennsylvania,2004,R,2938095
